# partB17b_calibration_filtered.py; one row per condition × estimator × replicate; git=106bd33
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(ii) Δc = +0.02,W60,37,1.186829,-0.001801,-0.001950,0.000149,0.9335,-0.003207,0.003560,0.000299,0.000059
(ii) Δc = +0.02,global (run-level prediction),37,1.336845,-0.001759,-0.000000,-0.001759,0.4384,-0.005920,0.002417,nan,nan
(ii) Δc = +0.02,global (period-level prediction),37,1.336845,-0.001759,-0.002380,0.000621,0.7662,-0.003543,0.004337,nan,nan
(ii) Δc = +0.02,W60,38,1.187299,0.000497,-0.000407,0.000905,0.3494,-0.000840,0.002667,0.000450,0.001029
(ii) Δc = +0.02,global (run-level prediction),38,1.335497,-0.001064,0.000000,-0.001064,0.7965,-0.008918,0.006517,nan,nan
(ii) Δc = +0.02,global (period-level prediction),38,1.335497,-0.001064,-0.002823,0.001759,0.5226,-0.002886,0.006900,nan,nan
(ii) Δc = +0.02,W60,39,1.192493,-0.004064,-0.004961,0.000897,0.5498,-0.001844,0.003604,0.000760,-0.000523
(ii) Δc = +0.02,global (run-level prediction),39,1.340940,-0.006294,0.000000,-0.006294,0.1217,-0.013518,0.000825,nan,nan
(ii) Δc = +0.02,global (period-level prediction),39,1.340940,-0.006294,-0.006853,0.000558,0.8306,-0.004167,0.005364,nan,nan
(ii) Δc = +0.02,W60,40,1.189332,-0.000150,0.000019,-0.000168,0.9030,-0.002740,0.002378,0.000508,0.000903
(ii) Δc = +0.02,global (run-level prediction),40,1.338308,-0.000836,0.000000,-0.000836,0.7924,-0.006865,0.005440,nan,nan
(ii) Δc = +0.02,global (period-level prediction),40,1.338308,-0.000836,0.001495,-0.002331,0.2010,-0.005705,0.000942,nan,nan
(ii) Δc = +0.02,W60,41,1.187975,-0.002360,-0.002527,0.000166,0.7703,-0.001087,0.001402,-0.000038,0.000090
(ii) Δc = +0.02,global (run-level prediction),41,1.336520,-0.002998,-0.000000,-0.002998,0.3322,-0.008410,0.002397,nan,nan
(ii) Δc = +0.02,global (period-level prediction),41,1.336520,-0.002998,-0.001823,-0.001176,0.5321,-0.004763,0.002165,nan,nan
(ii) Δc = +0.02,W60,42,1.189160,-0.000399,0.001274,-0.001674,0.1401,-0.003638,0.000167,0.000536,0.001593
(ii) Δc = +0.02,global (run-level prediction),42,1.337292,0.000940,0.000000,0.000940,0.7466,-0.004489,0.005973,nan,nan
(ii) Δc = +0.02,global (period-level prediction),42,1.337292,0.000940,-0.000065,0.001004,0.6418,-0.002983,0.004940,nan,nan
(ii) Δc = +0.02,W60,43,1.187266,-0.000225,0.000450,-0.000675,0.5271,-0.002596,0.001378,0.000458,-0.000075
(ii) Δc = +0.02,global (run-level prediction),43,1.333386,0.001276,-0.000000,0.001276,0.7810,-0.006688,0.010044,nan,nan
(ii) Δc = +0.02,global (period-level prediction),43,1.333386,0.001276,0.000829,0.000447,0.7800,-0.002467,0.003729,nan,nan
(ii) Δc = +0.02,W60,44,1.187272,-0.001547,-0.001054,-0.000493,0.7168,-0.002976,0.002137,0.000194,0.001062
(ii) Δc = +0.02,global (run-level prediction),44,1.336341,-0.001624,-0.000000,-0.001624,0.5824,-0.006810,0.003831,nan,nan
(ii) Δc = +0.02,global (period-level prediction),44,1.336341,-0.001624,0.001346,-0.002970,0.1147,-0.005792,0.000436,nan,nan
(ii) Δc = +0.02,W60,45,1.188738,-0.005771,-0.005075,-0.000696,0.6792,-0.004101,0.002207,0.000263,0.002389
(ii) Δc = +0.02,global (run-level prediction),45,1.335036,-0.006248,0.000000,-0.006248,0.0642,-0.012052,-0.000844,nan,nan
(ii) Δc = +0.02,global (period-level prediction),45,1.335036,-0.006248,-0.003042,-0.003206,0.1528,-0.007216,0.000459,nan,nan
(ii) Δc = +0.02,W60,46,1.186480,-0.000959,0.000109,-0.001068,0.2728,-0.002929,0.000748,0.000477,-0.000267
(ii) Δc = +0.02,global (run-level prediction),46,1.333361,-0.001842,0.000000,-0.001842,0.4990,-0.006698,0.003064,nan,nan
(ii) Δc = +0.02,global (period-level prediction),46,1.333361,-0.001842,-0.002449,0.000608,0.7047,-0.002509,0.003604,nan,nan
(ii) Δc = +0.02,W60,47,1.187192,-0.001355,-0.000773,-0.000582,0.6088,-0.002763,0.001516,0.000639,-0.000834
(ii) Δc = +0.02,global (run-level prediction),47,1.331883,0.002522,0.000000,0.002522,0.4620,-0.003920,0.008891,nan,nan
(ii) Δc = +0.02,global (period-level prediction),47,1.331883,0.002522,0.002627,-0.000104,0.9636,-0.003666,0.003720,nan,nan
(ii) Δc = +0.02,W60,48,1.188539,0.001289,0.000906,0.000383,0.6904,-0.001431,0.002054,0.000220,-0.001170
(ii) Δc = +0.02,global (run-level prediction),48,1.337672,0.000270,0.000000,0.000270,0.9232,-0.004506,0.005028,nan,nan
(ii) Δc = +0.02,global (period-level prediction),48,1.337672,0.000270,0.000028,0.000243,0.8809,-0.002553,0.002994,nan,nan
(ii) Δc = +0.02,W60,49,1.190447,0.001955,0.001962,-0.000007,0.9961,-0.002592,0.002105,0.000278,0.000132
(ii) Δc = +0.02,global (run-level prediction),49,1.338576,-0.000442,0.000000,-0.000442,0.8885,-0.006189,0.005357,nan,nan
(ii) Δc = +0.02,global (period-level prediction),49,1.338576,-0.000442,0.003466,-0.003908,0.0458,-0.006973,-0.000486,nan,nan
(ii) Δc = +0.02,W60,50,1.186349,0.003474,0.002133,0.001341,0.3374,-0.001064,0.003841,0.000239,-0.000494
(ii) Δc = +0.02,global (run-level prediction),50,1.333733,-0.000083,-0.000000,-0.000083,0.9816,-0.006127,0.006821,nan,nan
(ii) Δc = +0.02,global (period-level prediction),50,1.333733,-0.000083,0.001874,-0.001957,0.2333,-0.004942,0.000996,nan,nan
(ii) Δc = +0.03,W60,1,1.184467,0.000680,0.000188,0.000491,0.7101,-0.001891,0.002901,0.000688,-0.000425
(ii) Δc = +0.03,global (run-level prediction),1,1.334386,-0.001184,-0.000000,-0.001184,0.6924,-0.006350,0.004707,nan,nan
(ii) Δc = +0.03,global (period-level prediction),1,1.334386,-0.001184,0.001977,-0.003161,0.1716,-0.007031,0.001064,nan,nan
(ii) Δc = +0.03,W60,2,1.188907,0.003040,0.002378,0.000662,0.6116,-0.001533,0.003167,0.000451,-0.001746
(ii) Δc = +0.03,global (run-level prediction),2,1.338844,0.004521,0.000000,0.004521,0.1610,-0.001042,0.010241,nan,nan
(ii) Δc = +0.03,global (period-level prediction),2,1.338844,0.004521,0.004055,0.000466,0.8248,-0.003414,0.004152,nan,nan
(ii) Δc = +0.03,W60,3,1.186819,-0.002533,-0.002715,0.000183,0.8605,-0.001668,0.002214,0.000673,-0.000017
(ii) Δc = +0.03,global (run-level prediction),3,1.334119,-0.003061,-0.000000,-0.003061,0.3020,-0.008964,0.002115,nan,nan
(ii) Δc = +0.03,global (period-level prediction),3,1.334119,-0.003061,-0.002249,-0.000812,0.6528,-0.004246,0.002765,nan,nan
(ii) Δc = +0.03,W60,4,1.187339,-0.000948,-0.000131,-0.000817,0.4932,-0.002889,0.001335,0.000493,-0.000577
(ii) Δc = +0.03,global (run-level prediction),4,1.336114,-0.003570,0.000000,-0.003570,0.3347,-0.010450,0.002806,nan,nan
(ii) Δc = +0.03,global (period-level prediction),4,1.336114,-0.003570,-0.000274,-0.003296,0.1165,-0.007098,-0.000184,nan,nan
(ii) Δc = +0.03,W60,5,1.187508,-0.001238,-0.003692,0.002455,0.0742,0.000003,0.004792,0.000382,-0.001497
(ii) Δc = +0.03,global (run-level prediction),5,1.334927,-0.000296,-0.000000,-0.000296,0.9375,-0.006087,0.004988,nan,nan
(ii) Δc = +0.03,global (period-level prediction),5,1.334927,-0.000296,-0.003296,0.002999,0.2344,-0.001931,0.007103,nan,nan
(ii) Δc = +0.03,W60,6,1.187922,0.001214,0.000216,0.000998,0.4098,-0.001162,0.003047,0.001087,-0.000370
(ii) Δc = +0.03,global (run-level prediction),6,1.335937,-0.000652,-0.000000,-0.000652,0.8143,-0.005559,0.004726,nan,nan
(ii) Δc = +0.03,global (period-level prediction),6,1.335937,-0.000652,-0.002341,0.001689,0.4373,-0.002152,0.005735,nan,nan
(ii) Δc = +0.03,W60,7,1.190660,-0.003174,-0.002419,-0.000755,0.4552,-0.002532,0.001130,0.000783,-0.000397
(ii) Δc = +0.03,global (run-level prediction),7,1.337660,0.000720,-0.000000,0.000720,0.8452,-0.007072,0.007416,nan,nan
(ii) Δc = +0.03,global (period-level prediction),7,1.337660,0.000720,0.000043,0.000676,0.7080,-0.002722,0.004011,nan,nan
(ii) Δc = +0.03,W60,8,1.188658,-0.000778,0.000182,-0.000960,0.4457,-0.003190,0.001395,0.000667,-0.000813
(ii) Δc = +0.03,global (run-level prediction),8,1.336252,-0.001353,0.000000,-0.001353,0.6938,-0.007591,0.004662,nan,nan
(ii) Δc = +0.03,global (period-level prediction),8,1.336252,-0.001353,0.000325,-0.001678,0.3794,-0.005484,0.001791,nan,nan
(ii) Δc = +0.03,W60,9,1.184968,-0.001365,0.000048,-0.001413,0.2513,-0.003746,0.000590,0.000527,-0.000214
(ii) Δc = +0.03,global (run-level prediction),9,1.333966,-0.003830,0.000000,-0.003830,0.2867,-0.010744,0.002878,nan,nan
(ii) Δc = +0.03,global (period-level prediction),9,1.333966,-0.003830,-0.001670,-0.002160,0.1897,-0.005005,0.000764,nan,nan
(ii) Δc = +0.03,W60,10,1.187844,-0.005421,-0.004516,-0.000905,0.4537,-0.003059,0.001268,0.000465,0.000159
(ii) Δc = +0.03,global (run-level prediction),10,1.337434,-0.008933,-0.000000,-0.008933,0.0020,-0.013655,-0.004487,nan,nan
(ii) Δc = +0.03,global (period-level prediction),10,1.337434,-0.008933,-0.006610,-0.002323,0.0891,-0.004512,0.000293,nan,nan
(ii) Δc = +0.03,W60,11,1.188658,0.000856,0.000772,0.000085,0.9585,-0.002788,0.003143,0.000272,-0.000924
(ii) Δc = +0.03,global (run-level prediction),11,1.332849,0.006244,0.000000,0.006244,0.0399,0.000750,0.011294,nan,nan
(ii) Δc = +0.03,global (period-level prediction),11,1.332849,0.006244,0.004606,0.001638,0.4545,-0.002476,0.005472,nan,nan
(ii) Δc = +0.03,W60,12,1.187132,0.000420,0.001501,-0.001080,0.3876,-0.003417,0.001092,0.000480,-0.000245
(ii) Δc = +0.03,global (run-level prediction),12,1.334330,0.000789,-0.000000,0.000789,0.7949,-0.004629,0.006272,nan,nan
(ii) Δc = +0.03,global (period-level prediction),12,1.334330,0.000789,-0.000939,0.001728,0.5229,-0.002939,0.006650,nan,nan
(ii) Δc = +0.03,W60,13,1.184475,0.003210,0.004073,-0.000863,0.4913,-0.003137,0.001496,0.000847,0.000775
(ii) Δc = +0.03,global (run-level prediction),13,1.332547,0.002172,0.000000,0.002172,0.5465,-0.004534,0.008915,nan,nan
(ii) Δc = +0.03,global (period-level prediction),13,1.332547,0.002172,0.001882,0.000289,0.9111,-0.004154,0.005253,nan,nan
(ii) Δc = +0.03,W60,14,1.192428,0.001655,0.003281,-0.001626,0.2579,-0.004249,0.000878,0.000499,0.000050
(ii) Δc = +0.03,global (run-level prediction),14,1.339979,0.001237,-0.000000,0.001237,0.6599,-0.003841,0.006406,nan,nan
(ii) Δc = +0.03,global (period-level prediction),14,1.339979,0.001237,0.002281,-0.001044,0.3936,-0.003450,0.001003,nan,nan
(ii) Δc = +0.03,W60,15,1.190140,-0.001452,-0.000634,-0.000818,0.4088,-0.002669,0.001034,0.000337,0.001048
(ii) Δc = +0.03,global (run-level prediction),15,1.337427,0.003304,-0.000000,0.003304,0.3556,-0.003328,0.009746,nan,nan
(ii) Δc = +0.03,global (period-level prediction),15,1.337427,0.003304,0.001233,0.002071,0.3820,-0.002041,0.006096,nan,nan
(ii) Δc = +0.03,W60,16,1.191733,-0.006797,-0.006005,-0.000792,0.4199,-0.002473,0.001086,0.000798,-0.001405
(ii) Δc = +0.03,global (run-level prediction),16,1.341815,-0.009572,0.000000,-0.009572,0.0056,-0.015374,-0.004340,nan,nan
(ii) Δc = +0.03,global (period-level prediction),16,1.341815,-0.009572,-0.006093,-0.003480,0.1448,-0.007484,0.000422,nan,nan
(ii) Δc = +0.03,W60,17,1.190498,0.000528,-0.001036,0.001565,0.1823,-0.000650,0.003554,0.000904,-0.000084
(ii) Δc = +0.03,global (run-level prediction),17,1.338833,-0.001816,0.000000,-0.001816,0.6364,-0.008775,0.004729,nan,nan
(ii) Δc = +0.03,global (period-level prediction),17,1.338833,-0.001816,-0.000316,-0.001500,0.4208,-0.004966,0.002170,nan,nan
(ii) Δc = +0.03,W60,18,1.187325,-0.000859,-0.001747,0.000887,0.4950,-0.001453,0.003258,0.000186,-0.000908
(ii) Δc = +0.03,global (run-level prediction),18,1.335297,-0.005224,0.000000,-0.005224,0.1290,-0.011251,0.000460,nan,nan
(ii) Δc = +0.03,global (period-level prediction),18,1.335297,-0.005224,-0.002693,-0.002531,0.3225,-0.006862,0.002569,nan,nan
(ii) Δc = +0.03,W60,19,1.191931,-0.002529,-0.001486,-0.001042,0.4452,-0.003493,0.001534,0.000707,-0.000409
(ii) Δc = +0.03,global (run-level prediction),19,1.338187,-0.000255,0.000000,-0.000255,0.9354,-0.004915,0.005069,nan,nan
(ii) Δc = +0.03,global (period-level prediction),19,1.338187,-0.000255,-0.001660,0.001405,0.5256,-0.002414,0.005517,nan,nan
(ii) Δc = +0.03,W60,20,1.190540,-0.003070,-0.002407,-0.000663,0.5775,-0.002993,0.001470,0.000633,-0.000631
(ii) Δc = +0.03,global (run-level prediction),20,1.339044,-0.003582,0.000000,-0.003582,0.3938,-0.011562,0.004086,nan,nan
(ii) Δc = +0.03,global (period-level prediction),20,1.339044,-0.003582,-0.005412,0.001830,0.4608,-0.003134,0.006046,nan,nan
(ii) Δc = +0.03,W60,21,1.191610,-0.001015,-0.000512,-0.000503,0.7297,-0.003222,0.002199,0.000477,0.000446
(ii) Δc = +0.03,global (run-level prediction),21,1.336289,0.000722,-0.000000,0.000722,0.8397,-0.004714,0.007493,nan,nan
(ii) Δc = +0.03,global (period-level prediction),21,1.336289,0.000722,0.001371,-0.000650,0.8015,-0.005280,0.004127,nan,nan
(ii) Δc = +0.03,W60,22,1.183337,0.004669,0.003798,0.000871,0.3259,-0.000731,0.002504,0.000361,-0.002269
(ii) Δc = +0.03,global (run-level prediction),22,1.330451,0.005820,0.000000,0.005820,0.0413,0.000934,0.010275,nan,nan
(ii) Δc = +0.03,global (period-level prediction),22,1.330451,0.005820,0.003613,0.002208,0.2517,-0.001292,0.005623,nan,nan
(ii) Δc = +0.03,W60,23,1.189391,0.001684,0.000971,0.000713,0.4385,-0.000997,0.002476,0.000994,-0.000135
(ii) Δc = +0.03,global (run-level prediction),23,1.338001,0.001697,0.000000,0.001697,0.5685,-0.003847,0.007048,nan,nan
(ii) Δc = +0.03,global (period-level prediction),23,1.338001,0.001697,0.001458,0.000238,0.8947,-0.002963,0.003939,nan,nan
(ii) Δc = +0.03,W60,24,1.187276,-0.004915,-0.002171,-0.002744,0.0250,-0.005004,-0.000819,0.000855,0.001192
(ii) Δc = +0.03,global (run-level prediction),24,1.336089,-0.004563,0.000000,-0.004563,0.1656,-0.010730,0.000926,nan,nan
(ii) Δc = +0.03,global (period-level prediction),24,1.336089,-0.004563,-0.001868,-0.002695,0.3607,-0.008134,0.002790,nan,nan
(ii) Δc = +0.03,W60,25,1.190417,-0.004898,-0.002826,-0.002072,0.0801,-0.004205,-0.000016,0.000724,-0.000455
(ii) Δc = +0.03,global (run-level prediction),25,1.335091,0.004302,-0.000000,0.004302,0.1586,-0.001436,0.009433,nan,nan
(ii) Δc = +0.03,global (period-level prediction),25,1.335091,0.004302,0.000836,0.003466,0.1036,-0.000434,0.007369,nan,nan
(ii) Δc = +0.03,W60,26,1.186727,0.000629,0.001099,-0.000470,0.6971,-0.002590,0.001950,0.000619,0.001114
(ii) Δc = +0.03,global (run-level prediction),26,1.336727,-0.000758,0.000000,-0.000758,0.7465,-0.004888,0.003630,nan,nan
(ii) Δc = +0.03,global (period-level prediction),26,1.336727,-0.000758,0.000812,-0.001570,0.1700,-0.003638,0.000448,nan,nan
(ii) Δc = +0.03,W60,27,1.186505,-0.001654,-0.001893,0.000239,0.7732,-0.001389,0.001698,0.000790,0.000368
(ii) Δc = +0.03,global (run-level prediction),27,1.334847,0.000046,-0.000000,0.000046,0.9861,-0.005152,0.005353,nan,nan
(ii) Δc = +0.03,global (period-level prediction),27,1.334847,0.000046,-0.000388,0.000435,0.6198,-0.001210,0.002052,nan,nan
(ii) Δc = +0.03,W60,28,1.187849,-0.000913,-0.001052,0.000138,0.9042,-0.002015,0.002212,0.001033,0.000365
(ii) Δc = +0.03,global (run-level prediction),28,1.334920,-0.001320,0.000000,-0.001320,0.7295,-0.008993,0.005408,nan,nan
(ii) Δc = +0.03,global (period-level prediction),28,1.334920,-0.001320,0.000126,-0.001445,0.5560,-0.005869,0.003242,nan,nan
(ii) Δc = +0.03,W60,29,1.188801,-0.004088,-0.003526,-0.000562,0.4767,-0.001938,0.000914,0.001284,0.002064
(ii) Δc = +0.03,global (run-level prediction),29,1.338482,-0.004875,-0.000000,-0.004875,0.1675,-0.011871,0.001422,nan,nan
(ii) Δc = +0.03,global (period-level prediction),29,1.338482,-0.004875,-0.002846,-0.002030,0.4531,-0.007283,0.002810,nan,nan
(ii) Δc = +0.03,W60,30,1.186303,0.001112,0.003277,-0.002165,0.1813,-0.004991,0.000927,0.000883,-0.000812
(ii) Δc = +0.03,global (run-level prediction),30,1.331936,0.001424,0.000000,0.001424,0.6935,-0.005670,0.007510,nan,nan
(ii) Δc = +0.03,global (period-level prediction),30,1.331936,0.001424,-0.000053,0.001476,0.3217,-0.001212,0.004080,nan,nan
(ii) Δc = +0.03,W60,31,1.188995,-0.001098,-0.001005,-0.000093,0.9402,-0.002436,0.002367,0.000523,0.001245
(ii) Δc = +0.03,global (run-level prediction),31,1.337173,-0.003271,-0.000000,-0.003271,0.3230,-0.009486,0.003250,nan,nan
(ii) Δc = +0.03,global (period-level prediction),31,1.337173,-0.003271,0.000046,-0.003317,0.1877,-0.008034,0.001081,nan,nan
(ii) Δc = +0.03,W60,32,1.189781,0.002236,0.002887,-0.000652,0.6234,-0.003093,0.001812,0.000556,0.000365
(ii) Δc = +0.03,global (run-level prediction),32,1.337322,0.000454,-0.000000,0.000454,0.8821,-0.005192,0.006167,nan,nan
(ii) Δc = +0.03,global (period-level prediction),32,1.337322,0.000454,0.000187,0.000267,0.8785,-0.002825,0.003592,nan,nan
(ii) Δc = +0.03,W60,33,1.187440,0.000679,-0.001237,0.001916,0.1096,-0.000161,0.003983,0.000769,-0.001424
(ii) Δc = +0.03,global (run-level prediction),33,1.334534,0.000376,0.000000,0.000376,0.9326,-0.007207,0.008630,nan,nan
(ii) Δc = +0.03,global (period-level prediction),33,1.334534,0.000376,-0.001772,0.002148,0.3470,-0.001561,0.006182,nan,nan
(ii) Δc = +0.03,W60,34,1.186597,0.003165,0.001986,0.001178,0.3376,-0.000994,0.003379,0.001033,-0.000356
(ii) Δc = +0.03,global (run-level prediction),34,1.333831,0.001420,-0.000000,0.001420,0.6266,-0.003580,0.007220,nan,nan
(ii) Δc = +0.03,global (period-level prediction),34,1.333831,0.001420,0.001660,-0.000240,0.8728,-0.002899,0.002408,nan,nan
(ii) Δc = +0.03,W60,35,1.192102,-0.005776,-0.004797,-0.000980,0.3838,-0.002883,0.001038,0.001021,0.002415
(ii) Δc = +0.03,global (run-level prediction),35,1.339455,-0.007755,-0.000000,-0.007755,0.0354,-0.013902,-0.001888,nan,nan
(ii) Δc = +0.03,global (period-level prediction),35,1.339455,-0.007755,-0.005277,-0.002479,0.2269,-0.006424,0.001061,nan,nan
(ii) Δc = +0.03,W60,36,1.187671,-0.003340,-0.002814,-0.000527,0.5782,-0.002306,0.001299,0.000665,-0.000206
(ii) Δc = +0.03,global (run-level prediction),36,1.336536,-0.006300,-0.000000,-0.006300,0.0144,-0.011009,-0.002029,nan,nan
(ii) Δc = +0.03,global (period-level prediction),36,1.336536,-0.006300,-0.002579,-0.003721,0.0322,-0.006576,-0.000912,nan,nan
(ii) Δc = +0.03,W60,37,1.183122,-0.001130,0.000635,-0.001765,0.1729,-0.003950,0.000413,0.000801,-0.000402
(ii) Δc = +0.03,global (run-level prediction),37,1.331448,-0.002899,-0.000000,-0.002899,0.3571,-0.008568,0.001729,nan,nan
(ii) Δc = +0.03,global (period-level prediction),37,1.331448,-0.002899,-0.000380,-0.002519,0.1656,-0.005735,0.000654,nan,nan
(ii) Δc = +0.03,W60,38,1.185715,-0.004810,-0.003655,-0.001155,0.4493,-0.003886,0.001983,0.000703,0.001065
(ii) Δc = +0.03,global (run-level prediction),38,1.331727,-0.001316,0.000000,-0.001316,0.7584,-0.008028,0.006989,nan,nan
(ii) Δc = +0.03,global (period-level prediction),38,1.331727,-0.001316,-0.002320,0.001004,0.5492,-0.002162,0.004156,nan,nan
(ii) Δc = +0.03,W60,39,1.188760,0.001431,0.002825,-0.001394,0.2491,-0.003627,0.000770,0.000683,-0.000076
(ii) Δc = +0.03,global (run-level prediction),39,1.333870,0.002163,-0.000000,0.002163,0.5968,-0.004715,0.009738,nan,nan
(ii) Δc = +0.03,global (period-level prediction),39,1.333870,0.002163,0.004731,-0.002567,0.2104,-0.006040,0.000900,nan,nan
(ii) Δc = +0.03,W60,40,1.192194,-0.003597,-0.001153,-0.002443,0.0460,-0.004557,-0.000407,0.001115,-0.000521
(ii) Δc = +0.03,global (run-level prediction),40,1.338640,-0.005825,-0.000000,-0.005825,0.1110,-0.012069,0.000867,nan,nan
(ii) Δc = +0.03,global (period-level prediction),40,1.338640,-0.005825,-0.002469,-0.003355,0.1711,-0.007855,0.000668,nan,nan
(ii) Δc = +0.03,W60,41,1.191024,-0.000958,0.001916,-0.002874,0.0123,-0.004685,-0.001033,0.000833,-0.000924
(ii) Δc = +0.03,global (run-level prediction),41,1.336299,0.003928,-0.000000,0.003928,0.1667,-0.001272,0.008864,nan,nan
(ii) Δc = +0.03,global (period-level prediction),41,1.336299,0.003928,0.002417,0.001511,0.2727,-0.001005,0.003972,nan,nan
(ii) Δc = +0.03,W60,42,1.187063,-0.003105,-0.002393,-0.000712,0.4977,-0.002444,0.001293,0.000788,0.000149
(ii) Δc = +0.03,global (run-level prediction),42,1.335108,-0.008117,0.000000,-0.008117,0.0096,-0.012679,-0.003181,nan,nan
(ii) Δc = +0.03,global (period-level prediction),42,1.335108,-0.008117,-0.003765,-0.004353,0.0178,-0.006950,-0.001086,nan,nan
(ii) Δc = +0.03,W60,43,1.188703,0.003621,0.005718,-0.002097,0.1508,-0.004810,0.000333,0.000994,0.001263
(ii) Δc = +0.03,global (run-level prediction),43,1.336573,0.008186,-0.000000,0.008186,0.0160,0.002983,0.013400,nan,nan
(ii) Δc = +0.03,global (period-level prediction),43,1.336573,0.008186,0.005435,0.002751,0.1885,-0.000898,0.006689,nan,nan
(ii) Δc = +0.03,W60,44,1.190239,-0.005135,-0.004580,-0.000555,0.5516,-0.002168,0.001042,0.000586,-0.000484
(ii) Δc = +0.03,global (run-level prediction),44,1.338741,-0.005964,-0.000000,-0.005964,0.0850,-0.012040,0.000095,nan,nan
(ii) Δc = +0.03,global (period-level prediction),44,1.338741,-0.005964,-0.004782,-0.001181,0.5648,-0.004662,0.002719,nan,nan
(ii) Δc = +0.03,W60,45,1.190724,0.000019,-0.000787,0.000806,0.5867,-0.001891,0.003419,0.000193,-0.000662
(ii) Δc = +0.03,global (run-level prediction),45,1.341215,-0.001114,-0.000000,-0.001114,0.6881,-0.006084,0.003733,nan,nan
(ii) Δc = +0.03,global (period-level prediction),45,1.341215,-0.001114,-0.000250,-0.000864,0.6179,-0.003889,0.002553,nan,nan
(ii) Δc = +0.03,W60,46,1.184573,-0.000558,-0.003405,0.002847,0.0868,0.000175,0.005810,0.000672,-0.001086
(ii) Δc = +0.03,global (run-level prediction),46,1.332785,-0.003277,-0.000000,-0.003277,0.2070,-0.007997,0.001655,nan,nan
(ii) Δc = +0.03,global (period-level prediction),46,1.332785,-0.003277,-0.003931,0.000654,0.7462,-0.003003,0.004400,nan,nan
(ii) Δc = +0.03,W60,47,1.190120,-0.004271,-0.002916,-0.001354,0.1787,-0.003066,0.000555,0.000445,-0.000199
(ii) Δc = +0.03,global (run-level prediction),47,1.339074,-0.005096,-0.000000,-0.005096,0.1333,-0.011020,0.001009,nan,nan
(ii) Δc = +0.03,global (period-level prediction),47,1.339074,-0.005096,-0.001393,-0.003703,0.0342,-0.006495,-0.000733,nan,nan
(ii) Δc = +0.03,W60,48,1.188360,-0.000714,-0.000638,-0.000076,0.9425,-0.001942,0.001835,0.000539,0.000740
(ii) Δc = +0.03,global (run-level prediction),48,1.337105,0.001858,-0.000000,0.001858,0.5498,-0.003925,0.007337,nan,nan
(ii) Δc = +0.03,global (period-level prediction),48,1.337105,0.001858,0.000030,0.001828,0.2419,-0.000905,0.004419,nan,nan
(ii) Δc = +0.03,W60,49,1.187662,-0.000246,-0.000366,0.000121,0.9312,-0.002506,0.002739,0.000915,-0.001610
(ii) Δc = +0.03,global (run-level prediction),49,1.335919,-0.000999,0.000000,-0.000999,0.7432,-0.007205,0.004240,nan,nan
(ii) Δc = +0.03,global (period-level prediction),49,1.335919,-0.000999,0.001556,-0.002555,0.2808,-0.006491,0.001083,nan,nan
(ii) Δc = +0.03,W60,50,1.186844,0.004358,0.004003,0.000354,0.7892,-0.001943,0.002403,0.000553,-0.001489
(ii) Δc = +0.03,global (run-level prediction),50,1.332968,0.006747,-0.000000,0.006747,0.1123,-0.000911,0.014471,nan,nan
(ii) Δc = +0.03,global (period-level prediction),50,1.332968,0.006747,0.002207,0.004539,0.0300,0.001126,0.008085,nan,nan
(ii) Δc = −0.02,W60,1,1.187265,0.001251,0.002470,-0.001219,0.2302,-0.003114,0.000715,-0.000921,-0.000551
(ii) Δc = −0.02,global (run-level prediction),1,1.332473,0.002248,-0.000000,0.002248,0.4822,-0.003826,0.008052,nan,nan
(ii) Δc = −0.02,global (period-level prediction),1,1.332473,0.002248,0.002269,-0.000020,0.9899,-0.003485,0.003066,nan,nan
(ii) Δc = −0.02,W60,2,1.184068,0.000265,0.000745,-0.000480,0.6910,-0.002779,0.001988,-0.000343,0.001871
(ii) Δc = −0.02,global (run-level prediction),2,1.329820,0.003189,-0.000000,0.003189,0.3367,-0.002595,0.008986,nan,nan
(ii) Δc = −0.02,global (period-level prediction),2,1.329820,0.003189,0.003233,-0.000044,0.9791,-0.003404,0.003081,nan,nan
(ii) Δc = −0.02,W60,3,1.192046,-0.001793,-0.001773,-0.000019,0.9817,-0.001584,0.001448,-0.000092,-0.000122
(ii) Δc = −0.02,global (run-level prediction),3,1.342526,-0.008287,-0.000000,-0.008287,0.0051,-0.012551,-0.003878,nan,nan
(ii) Δc = −0.02,global (period-level prediction),3,1.342526,-0.008287,-0.005907,-0.002380,0.2128,-0.005633,0.000857,nan,nan
(ii) Δc = −0.02,W60,4,1.191993,-0.004821,-0.002430,-0.002391,0.0752,-0.004626,-0.000204,-0.000436,-0.000110
(ii) Δc = −0.02,global (run-level prediction),4,1.340637,-0.004996,-0.000000,-0.004996,0.2163,-0.012072,0.002568,nan,nan
(ii) Δc = −0.02,global (period-level prediction),4,1.340637,-0.004996,-0.002470,-0.002526,0.2148,-0.006140,0.000842,nan,nan
(ii) Δc = −0.02,W60,5,1.187794,-0.001270,0.000258,-0.001527,0.2740,-0.004013,0.000859,-0.000691,0.000799
(ii) Δc = −0.02,global (run-level prediction),5,1.335881,0.001764,-0.000000,0.001764,0.5365,-0.003575,0.006604,nan,nan
