# partB17b_calibration_filtered.py; one row per condition × estimator × replicate; git=106bd33
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(i) Δa (post filter),global (period-level prediction),25,1.322425,-0.102426,-0.106240,0.003814,0.0864,0.000494,0.007349,nan,nan
(i) Δa (post filter),W60,26,1.187689,-0.097457,-0.101931,0.004474,0.0004,0.003033,0.006006,0.000172,0.005731
(i) Δa (post filter),global (run-level prediction),26,1.326571,-0.107513,0.000000,-0.107513,0.0001,-0.113509,-0.101472,nan,nan
(i) Δa (post filter),global (period-level prediction),26,1.326571,-0.107513,-0.111851,0.004337,0.0272,0.001080,0.007246,nan,nan
(i) Δa (post filter),W60,27,1.186715,-0.091744,-0.094663,0.002919,0.0131,0.000951,0.004612,0.000230,0.005588
(i) Δa (post filter),global (run-level prediction),27,1.323736,-0.105080,-0.000000,-0.105080,0.0001,-0.111534,-0.099772,nan,nan
(i) Δa (post filter),global (period-level prediction),27,1.323736,-0.105080,-0.106719,0.001638,0.2467,-0.000928,0.004009,nan,nan
(i) Δa (post filter),W60,28,1.186603,-0.089902,-0.091282,0.001380,0.2725,-0.000939,0.003371,0.000476,0.005726
(i) Δa (post filter),global (run-level prediction),28,1.325593,-0.103236,-0.000000,-0.103236,0.0001,-0.108634,-0.098324,nan,nan
(i) Δa (post filter),global (period-level prediction),28,1.325593,-0.103236,-0.106699,0.003463,0.1338,-0.000537,0.007703,nan,nan
(i) Δa (post filter),W60,29,1.187037,-0.090188,-0.093773,0.003585,0.0148,0.001332,0.005884,-0.000328,0.004258
(i) Δa (post filter),global (run-level prediction),29,1.324178,-0.096328,-0.000000,-0.096328,0.0001,-0.101603,-0.090733,nan,nan
(i) Δa (post filter),global (period-level prediction),29,1.324178,-0.096328,-0.103381,0.007053,0.0090,0.002812,0.011039,nan,nan
(i) Δa (post filter),W60,30,1.184453,-0.089297,-0.091512,0.002215,0.0701,0.000063,0.004292,-0.000006,0.004840
(i) Δa (post filter),global (run-level prediction),30,1.322296,-0.097714,0.000000,-0.097714,0.0001,-0.103253,-0.092281,nan,nan
(i) Δa (post filter),global (period-level prediction),30,1.322296,-0.097714,-0.101728,0.004013,0.0251,0.001228,0.006968,nan,nan
(i) Δa (post filter),W60,31,1.188590,-0.092826,-0.096343,0.003517,0.0129,0.001115,0.005596,0.000118,0.005740
(i) Δa (post filter),global (run-level prediction),31,1.326721,-0.103693,-0.000000,-0.103693,0.0001,-0.108420,-0.098931,nan,nan
(i) Δa (post filter),global (period-level prediction),31,1.326721,-0.103693,-0.106488,0.002795,0.1805,-0.000944,0.006429,nan,nan
(i) Δa (post filter),W60,32,1.187631,-0.092709,-0.094769,0.002059,0.1136,-0.000171,0.004314,0.000016,0.007133
(i) Δa (post filter),global (run-level prediction),32,1.324977,-0.108832,-0.000000,-0.108832,0.0001,-0.113585,-0.102978,nan,nan
(i) Δa (post filter),global (period-level prediction),32,1.324977,-0.108832,-0.110293,0.001462,0.2900,-0.000857,0.003919,nan,nan
