configuration,run_type,term,value,se,n,ci_lo,ci_hi
1,PCB,wd,0.0002970578372690464,4.137165837551486e-05,25000.0,,
1,PCB,means,-6.00110245227343e-06,2.4832204779836253e-06,25000.0,,
1,PCB,within,0.0003014344568798252,3.9150467186299984e-05,25000.0,,
1,PCB,pool,1.826620049223813e-05,9.886343386736265e-06,25000.0,,
1,PCB,eps,-2.2642820103016876e-05,4.1747152587086025e-06,25000.0,,
1,PCB,d60,4.1535627614040783e-05,4.034023173802753e-05,25000.0,,
1,PCB,d60_winsign,0.0037797801095095828,4.0935380050794255e-05,25000.0,,
1,both,run,0.0002900700425490626,2.9947229923565057e-05,50000.0,,
1,both,wd,0.0003085454493477075,3.029036519763614e-05,50000.0,,
1,both,means,-1.8475406798644946e-05,4.363412567303268e-06,50000.0,,
1,both,within,0.0003071338488282774,2.8658135298902018e-05,50000.0,,
1,both,pool,2.4497522874895043e-05,7.110446663080185e-06,50000.0,,
1,both,eps,-2.3085922355464873e-05,3.237638604375483e-06,50000.0,,
1,both,d60,6.81068575904878e-05,2.9430260068679843e-05,50000.0,,
1,both,d60_winsign,0.0036427431951087967,2.9768416308866524e-05,50000.0,,
2,DMT,run,0.00025878716768912914,4.350577039297183e-05,25000.0,,
2,DMT,wd,0.00027988984789462313,4.431903403025094e-05,25000.0,,
2,DMT,means,-2.1102680205493973e-05,8.265051906673605e-06,25000.0,,
2,DMT,within,0.0002842909040084054,4.205426714754242e-05,25000.0,,
2,DMT,pool,2.6220001679421338e-05,1.0169015045497704e-05,25000.0,,
2,DMT,eps,-3.062105779320359e-05,4.933081186232915e-06,25000.0,,
2,DMT,d60,7.794799546145704e-05,4.296997726834176e-05,25000.0,,
2,DMT,d60_winsign,0.0032233287251694207,4.380040140735887e-05,25000.0,,
2,PCB,run,0.0003691656190684479,4.090920517774397e-05,25000.0,,
2,PCB,wd,0.00037755532564979404,4.099756254894435e-05,25000.0,,
2,PCB,means,-8.389706581346115e-06,2.4543521622948764e-06,25000.0,,
2,PCB,within,0.0003671601253105663,3.883803185333469e-05,25000.0,,
2,PCB,pool,2.7623500598487335e-05,9.711665917113768e-06,25000.0,,
2,PCB,eps,-1.7228300259259623e-05,4.285321275355239e-06,25000.0,,
2,PCB,d60,0.00012236725163742324,3.9947318161863584e-05,25000.0,,
2,PCB,d60_winsign,0.003411933014011122,4.1535752913358065e-05,25000.0,,
2,both,run,0.0003139763933787885,2.9859316493184914e-05,50000.0,,
2,both,wd,0.00032872258677220855,3.018682209313008e-05,50000.0,,
2,both,means,-1.4746193393420043e-05,4.310885279051466e-06,50000.0,,
2,both,within,0.00032572551465948583,2.862234312367484e-05,50000.0,,
2,both,pool,2.6921751138954335e-05,7.03074181507876e-06,50000.0,,
2,both,eps,-2.3924679026231608e-05,3.267233861501859e-06,50000.0,,
2,both,d60,0.00010015762354944013,2.9335163092980086e-05,50000.0,,
2,both,d60_winsign,0.0033176308695902716,3.018150896461813e-05,50000.0,,
3,DMT,run,0.00045043045547867846,4.2584215595974556e-05,25000.0,,
3,DMT,wd,0.0004597339191677023,4.267468529127253e-05,25000.0,,
3,DMT,means,-9.303463689023776e-06,2.470129169188309e-06,25000.0,,
3,DMT,within,0.0004482305727387008,4.040841117143809e-05,25000.0,,
3,DMT,pool,3.215158578210194e-05,9.9766751192785e-06,25000.0,,
3,DMT,eps,-2.0648239353100365e-05,4.3811594423750015e-06,25000.0,,
3,DMT,d60,0.00022454895617261846,4.145049090749928e-05,25000.0,,
3,DMT,d60_winsign,0.0035449164512527205,4.170262149210958e-05,25000.0,,
3,PCB,run,0.00046823738248419767,4.127268130887875e-05,25000.0,,
3,PCB,wd,0.00047596361673399654,4.136259500069311e-05,25000.0,,
3,PCB,means,-7.726234249798915e-06,2.4488450991815636e-06,25000.0,,
3,PCB,within,0.00043449425200262233,3.911424487389946e-05,25000.0,,
3,PCB,pool,5.907430234892246e-05,9.85368004991981e-06,25000.0,,
3,PCB,eps,-1.7604937617548235e-05,4.211724978450283e-06,25000.0,,
3,PCB,d60,0.00019334612906326423,4.0219068064143096e-05,25000.0,,
3,PCB,d60_winsign,0.003707536513681605,4.124785981575205e-05,25000.0,,
3,both,run,0.00045933391898143807,2.965151615157609e-05,50000.0,,
3,both,wd,0.0004678487679508494,2.9715286595877363e-05,50000.0,,
3,both,means,-8.514848969411346e-06,1.7391363109500997e-06,50000.0,,
3,both,within,0.00044136241237066154,2.8119227609659608e-05,50000.0,,
3,both,pool,4.5612944065512203e-05,7.011224161332641e-06,50000.0,,
3,both,eps,-1.91265884853243e-05,3.038633959265811e-06,50000.0,,
3,both,d60,0.00020894754261794135,2.88778316032422e-05,50000.0,,
3,both,d60_winsign,0.0036262264824671628,2.9327864645649247e-05,50000.0,,
4,DMT,run,0.0003227157191882127,4.367975184495759e-05,25000.0,,
4,DMT,wd,0.0003371447545341438,4.444860136402068e-05,25000.0,,
4,DMT,means,-1.4429035345931137e-05,8.350911290026073e-06,25000.0,,
4,DMT,within,0.0003339156047415706,4.204468786696376e-05,25000.0,,
4,DMT,pool,2.2778466964922775e-05,1.0211659492832472e-05,25000.0,,
4,DMT,eps,-1.9549317172349564e-05,4.949489382247167e-06,25000.0,,
4,DMT,d60,0.00011615641920783823,4.2847692767706846e-05,25000.0,,
4,DMT,d60_winsign,0.003491539831878271,4.330099620750887e-05,25000.0,,
4,PCB,run,0.0003202989090261014,4.110433205538514e-05,25000.0,,
4,PCB,wd,0.00032440756752760935,4.1216797172371984e-05,25000.0,,
