# partB22_aligned_directed.py; one row per variant, subject, run and W = 60 window; git=a9d9ca4
variant,subject,run,window,A_other,A_same,winsign,B,D,Sym,D_plus_Sym,Both,rms_anti,residual,sd_r1,sd_absq
ts_gsr,1,PCB,10,-0.0011206607,0.0015742403,0.0048604951,0.01964517,-0.037907269,-0.0016977877,-0.039605057,-0.040837141,0.11692071,-0.0400578,0.030901798,0.17266105
ts_gsr,1,PCB,11,0.0028503557,0.0042103553,0.0062240964,0.021621588,-0.03612274,-0.013760488,-0.049883227,-0.051446035,0.10250366,-0.05141657,0.027038905,0.19050289
ts_gsr,1,PCB,12,0.0014578098,0.0019273614,0.0060932196,0.023434496,-0.031219624,-0.0070048493,-0.038224473,-0.039580644,0.099750708,-0.039074018,0.026025083,0.17888386
ts_gsr,1,PCB,13,0.0035863257,0.0050925547,0.010299731,0.030658258,-0.033676367,-0.034257565,-0.067933932,-0.070592145,0.092025139,-0.069337753,0.030281281,0.20367629
ts_gsr,1,PCB,14,0.00010478848,-0.00022874958,0.0011344891,0.0030620076,-0.053230908,0.0090481178,-0.04418279,-0.045027029,0.13095138,-0.045655196,0.028417874,0.20582013
ts_gsr,2,DMT,1,0.00011862533,0.001505518,0.003939381,0.012873275,-0.043135208,-0.005090723,-0.048225931,-0.049712898,0.11647905,-0.048598664,0.021434411,0.20080954
ts_gsr,2,DMT,2,-0.0018155985,-0.0013421663,0.0027562262,0.012451159,-0.032073984,0.0014809786,-0.030593005,-0.031023497,0.10763688,-0.029958931,0.034488588,0.17473459
ts_gsr,2,DMT,3,0.00023934504,0.00079780249,0.0038063379,0.01449001,-0.038728532,-0.0030158006,-0.041744332,-0.04270282,0.11719286,-0.042309066,0.029194152,0.18879673
ts_gsr,2,DMT,4,0.0014283368,0.0025764648,0.0046449108,0.016944552,-0.038034247,0.00064080451,-0.037393442,-0.038837038,0.11722215,-0.038429484,0.028028573,0.18707662
ts_gsr,2,DMT,5,0.0021144045,0.0029177296,0.0089662742,0.030334133,-0.038798905,-0.016220081,-0.055018987,-0.057457772,0.11435179,-0.05576596,0.033322713,0.18875317
ts_gsr,2,DMT,6,-0.00041100145,-0.0010013918,0.00090687216,0.0051795716,-0.0367793,0.0082496594,-0.028529641,-0.029181574,0.12562777,-0.028800362,0.030856838,0.17022134
ts_gsr,2,DMT,7,0.00048048216,0.001635183,0.0038676298,0.016256469,-0.034779985,-0.0029861531,-0.037766138,-0.039726417,0.11197104,-0.040080592,0.027947027,0.18192577
ts_gsr,2,DMT,8,-0.00055876762,-0.00016242891,0.0038623439,0.013776894,-0.033222368,0.0033937984,-0.02982857,-0.030761423,0.11157872,-0.030445313,0.029275929,0.17414082
ts_gsr,2,DMT,9,-0.00075233973,0.00061476384,0.0035056964,0.012526473,-0.041526652,-0.0014496602,-0.042976312,-0.044593957,0.1243826,-0.0444468,0.031166676,0.19031867
ts_gsr,2,DMT,10,0.0042288073,0.0055590604,0.010583947,0.027236637,-0.04695606,-0.032516666,-0.079472726,-0.083290065,0.11075042,-0.083092417,0.028207526,0.21194823
ts_gsr,2,DMT,11,0.0031801857,0.0037196434,0.0061533163,0.022061117,-0.032817957,-0.0019254379,-0.034743395,-0.03626614,0.10638736,-0.035778396,0.023890505,0.17600031
ts_gsr,2,DMT,12,0.0019650287,0.0032534873,0.0061078874,0.020825203,-0.039527878,-0.0096528475,-0.049180725,-0.051057763,0.11451026,-0.05082258,0.02514494,0.18615831
ts_gsr,2,DMT,13,0.00054286534,0.0036734371,0.006092881,0.018465329,-0.045950829,-0.0082642817,-0.05421511,-0.056129928,0.11710152,-0.055412093,0.026759918,0.20067905
ts_gsr,2,DMT,14,0.0033225441,0.0069105492,0.010335234,0.028756625,-0.038574051,-0.027217716,-0.065791767,-0.069029427,0.10122809,-0.068828965,0.023051884,0.20651575
ts_gsr,2,PCB,1,0.0048360721,0.003329336,0.0043154534,0.014297959,-0.044284517,-0.0066257606,-0.050910278,-0.052789564,0.11323289,-0.052145439,0.023561747,0.21010376
ts_gsr,2,PCB,2,-0.0029842154,-0.002564822,0.0029319295,0.008948325,-0.043409559,0.0083592942,-0.035050265,-0.035698839,0.11763753,-0.03533431,0.026474096,0.2003965
ts_gsr,2,PCB,3,-0.0044843,-0.0059364073,0.0035256855,0.011691855,-0.040733266,0.0034801321,-0.037253134,-0.037314593,0.11269743,-0.036032884,0.037377989,0.20367221
ts_gsr,2,PCB,4,0.0010378924,0.001216795,0.0095380384,0.029452611,-0.037487078,-0.016186641,-0.053673719,-0.055994588,0.10829011,-0.055661739,0.02771789,0.19435213
ts_gsr,2,PCB,5,-0.00056374629,0.00068166269,0.0037354773,0.011288309,-0.042385599,0.00074263151,-0.041642968,-0.042960111,0.12848082,-0.042116415,0.025674994,0.18748679
ts_gsr,2,PCB,6,0.0033732843,0.0044669181,0.010991823,0.027510416,-0.04677285,-0.037939188,-0.084712038,-0.088377472,0.10300355,-0.088108665,0.026399522,0.21819375
ts_gsr,2,PCB,7,0.0023093512,0.0015215084,0.0057649894,0.017120533,-0.053207543,-0.01246838,-0.065675923,-0.068408847,0.12926619,-0.068112101,0.023672852,0.20712306
ts_gsr,2,PCB,8,0.00023463473,0.00079820565,0.0035942104,0.013543665,-0.035144596,-0.002802937,-0.037947533,-0.03903441,0.10801275,-0.038116983,0.025037934,0.18800517
ts_gsr,2,PCB,9,0.002697856,0.0028558292,0.0059096351,0.01978889,-0.040749654,-0.011652437,-0.05240209,-0.054158617,0.1105025,-0.054850741,0.027860187,0.19538068
ts_gsr,2,PCB,10,-0.0013999108,-0.00027487307,0.0043466957,0.014659025,-0.034553874,0.0017421068,-0.032811767,-0.033605351,0.10741595,-0.032944222,0.026882208,0.18727823
ts_gsr,2,PCB,11,-0.00024596827,-0.001058413,0.0059607747,0.022145807,-0.035304011,-0.00086832289,-0.036172334,-0.037327502,0.10843819,-0.036940806,0.028719522,0.1765786
ts_gsr,2,PCB,12,0.0010265323,0.0029164864,0.0064862871,0.021016992,-0.036188027,-0.013958629,-0.050146657,-0.052067024,0.10166782,-0.051645606,0.028014965,0.19854415
ts_gsr,2,PCB,13,0.00053605222,0.00090631657,0.0052540497,0.019251369,-0.036964367,-0.0030586842,-0.040023051,-0.041500537,0.11545188,-0.041902556,0.027838489,0.18004036
