variant,subject,condition,n_trs,n_trs_last_window,delta_run,delta_wd,delta_means,delta_within,delta_pool,delta_eps,delta_d60,delta_d60_winsign,a,absq,sumpi,frac_qneg,frac_absq05,frac_absq10
ts_gsr,12,DMT,840,60,0.003956254686930722,0.003972486978163631,-1.6232291232908483e-05,0.0032945891350047323,0.0006620084310635422,1.588941209535475e-05,0.0028713694040246435,0.006572706170765999,0.8664125463172427,0.19557058672878916,0.9624392025545494,0.5429443173150267,0.15636918382913806,0.31075514874141874
ts_gsr,12,PCB,840,60,0.0034774977280562698,0.003464652349704105,1.284537835216438e-05,0.0031439098417132684,0.00042182229154124565,-0.00010107978355040896,0.002658625277439488,0.007106650100792192,0.8725251784305417,0.19019658546633844,0.9649697208178101,0.548741418764302,0.17894736842105263,0.33943554538520215
ts_gsr,13,DMT,840,60,0.0024540868796789255,0.002459428749870564,-5.341870191639151e-06,0.0019605325729566154,0.0004810699205412124,1.7826256372736346e-05,0.0016235216129757348,0.005270892052096076,0.8578497510487787,0.17204904000096705,0.9476263925146302,0.5441647597254005,0.1848970251716247,0.35881006864988557
ts_gsr,13,PCB,840,60,0.003626972507788825,0.003587405675834509,3.956683195431637e-05,0.0032906510016939817,0.00028261174807407447,1.4142926066452939e-05,0.0026106683132432955,0.005609818286308564,0.8691958396046665,0.22237124036804243,0.9662444527210442,0.5350114416475973,0.13363844393592678,0.2623951182303585
ts_gsr,14,DMT,840,60,0.004842711971547917,0.004854796224875143,-1.208425332722519e-05,0.003493472254613511,0.001278588176677324,8.273579358430779e-05,0.0031580460835755474,0.00556096520901512,0.8537353706466035,0.2115594553895358,0.9638348525597397,0.5382151029748283,0.1505720823798627,0.2938215102974828
ts_gsr,14,PCB,840,60,0.002376693186918245,0.0023992612565747304,-2.256806965648566e-05,0.002227281141634336,0.0001917006986413798,-1.9720583700985682e-05,0.0019076171828831302,0.004537357939818124,0.8540671763378047,0.1675336091534684,0.9658079130984524,0.556979405034325,0.19221967963386727,0.3833714721586575
ts_demean,1,DMT,840,60,-0.006700547725977021,-0.006760389153020759,5.98414270437375e-05,-0.006230059017588728,-0.0003613033939161721,-0.00016902674151585937,-0.00717172581102979,-0.00233125296849415,0.84666295576395,0.3243141776315705,0.948967214284037,0.04103737604881769,0.059496567505720827,0.12829900839054156
ts_demean,1,PCB,840,60,-0.004477863487007463,-0.004500814941061465,2.29514540540024e-05,-0.00433980303527016,-0.0002765698592873553,0.00011555795349604959,-0.004864782370905703,-0.0006834870085840379,0.8503976542759965,0.24110651177419581,0.9663968418549465,0.18276125095347062,0.15530129672006102,0.2990083905415713
ts_demean,2,DMT,840,60,4.5846566844049754e-05,4.919994616377346e-05,-3.3533793197237503e-06,1.4589051553698541e-05,9.28064742444765e-05,-5.819557963440153e-05,-8.93662846854416e-05,0.0038917076693816863,0.8547192170929843,0.19492202744234263,0.9678040913981836,0.27185354691075514,0.18382913806254766,0.3672006102212052
ts_demean,2,PCB,840,60,-0.0013525902653102574,-0.0013522894039708856,-3.0086133937186964e-07,-0.0013782710900977035,6.6578125692752325e-06,1.9323873557542876e-05,-0.0014897882230036426,0.003008296369931484,0.8613501395141996,0.20798801392319963,0.9688630453063921,0.2776506483600305,0.18199847444698702,0.34279176201372996
