# partB21_inference_revision.py; one row per quantity; git=a9d9ca4
group,label,set,field,source,quoted_at,n,mean,committed_mean,check,p_exact,committed_p,p_tol,pct_lo,pct_hi,inv_lo,inv_hi,t_lo,t_hi,width_ratio,zero_in_pct,zero_in_inv,zero_in_t,n_neg,grid_violations,note
pickle,CCS xtx+yty ts_gsr global-bins,early,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.10380436104184065,np.float64(-0.10380436104184065),ok,0.0018310546875,0.0018310546875,1e-09,np.float64(-0.16022281382505169),np.float64(-0.05231516261537989),-0.16548597438460477,-0.043979933564625484,np.float64(-0.1652860968690279),np.float64(-0.042322625214653395),np.float64(1.1260187712165555),no,no,no,13,0,
pickle,CCS xtx+yty ts_gsr global-bins,late,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.06223745629461043,np.float64(-0.06223745629461043),ok,0.120849609375,0.120849609375,1e-09,np.float64(-0.13434367147359882),np.float64(0.010236579933349896),-0.14218988477244826,0.017794962763200955,np.float64(-0.14331897888657424),np.float64(0.0188440662973534),np.float64(1.1065470282337615),yes,yes,yes,11,0,
pickle,CCS xtx+yty ts_gsr global-bins,trend_a_placebo_line,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.08287114289002119,np.float64(-0.08287114289002119),ok,0.018798828125,0.018798828125,1e-09,np.float64(-0.14296258250027916),np.float64(-0.02323119234413347),-0.15022783639355358,-0.01520787117117343,np.float64(-0.15164077729813252),np.float64(-0.014101508481909872),np.float64(1.1276906168574183),no,no,no,12,0,
pickle,CCS xtx+yty ts_gsr global-bins,trend_b_shared_slope,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.09631900407464279,np.float64(-0.09631900407464279),ok,0.0050048828125,0.0050048828125,1e-09,np.float64(-0.1542014632677774),np.float64(-0.041387455824540696),-0.159761322918836,-0.03412969194504532,np.float64(-0.16054467846544718),np.float64(-0.03209332968383839),np.float64(1.113617305342187),no,no,no,13,0,
pickle,CCS rtr ts_gsr global-bins,primary,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.022311982352728375,np.float64(-0.022311982352728375),ok,0.0006103515625,0.0006103515625,1e-09,np.float64(-0.031773977986574754),np.float64(-0.012798377632924652),-0.033281450437037396,-0.011329777680873142,np.float64(-0.033196532048136204),np.float64(-0.011427432657320545),np.float64(1.1568367981538819),no,no,no,13,0,
pickle,CCS rtr ts_gsr global-bins,sensitivity,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.022155339130729944,np.float64(-0.022155339130729944),ok,0.0006103515625,0.0006103515625,1e-09,np.float64(-0.031614045263841865),np.float64(-0.012962814540438333),-0.03297187948077851,-0.011343613710742984,np.float64(-0.032880228166882255),np.float64(-0.01143045009457763),np.float64(1.1596160109100153),no,no,no,13,0,
pickle,CCS rtr ts_gsr global-bins,early,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.02697647438987349,np.float64(-0.02697647438987349),ok,0.000244140625,0.000244140625,1e-09,np.float64(-0.03426583104832685),np.float64(-0.019564589811003494),-0.035450034256414124,-0.018377305904349342,np.float64(-0.035505854967036087),np.float64(-0.018447093812710896),np.float64(1.1613120332125912),no,no,no,13,0,
pickle,CCS rtr ts_gsr global-bins,late,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.01858038872301229,np.float64(-0.01858038872301229),ok,0.011962890625,0.011962890625,1e-09,np.float64(-0.02999870721980172),np.float64(-0.007053435873850765),-0.03182996123585592,-0.005288735581289474,np.float64(-0.03184706219761472),np.float64(-0.005313715248409857),np.float64(1.1567187528270417),no,no,no,11,0,
pickle,CCS rtr ts_gsr global-bins,trend_a_placebo_line,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.024613362587920056,np.float64(-0.024613362587920056),ok,0.000732421875,0.000732421875,1e-09,np.float64(-0.03489462009528927),np.float64(-0.014660366896244096),-0.03624604253672323,-0.013025014596209562,np.float64(-0.036146698756479315),np.float64(-0.0130800264193608),np.float64(1.1476098332904834),no,no,no,12,0,
pickle,CCS rtr ts_gsr global-bins,trend_b_shared_slope,did,notes/review_results/inference_rows_ccs.pkl,,14,-0.027758429517563025,np.float64(-0.027758429517563025),ok,0.0003662109375,0.0003662109375,1e-09,np.float64(-0.03732316449698755),np.float64(-0.018517762756980277),-0.03864531971565865,-0.016843179368652074,np.float64(-0.03861893684496846),np.float64(-0.01689792219015759),np.float64(1.1593552027460248),no,no,no,13,0,
pickle,CCS sts ts_demean W60,primary,did,notes/review_results/inference_rows_ccs.pkl,,14,0.013371194608144371,np.float64(0.013371194608144371),ok,0.0052490234375,0.0052490234375,1e-09,np.float64(0.005618461641761502),np.float64(0.022114456145057797),0.003881293699967207,0.02309102324749828,np.float64(0.0037429384584632703),np.float64(0.022999450757825474),np.float64(1.1645087262663982),no,no,no,3,0,
pickle,CCS sts ts_demean W60,sensitivity,did,notes/review_results/inference_rows_ccs.pkl,,14,0.011979314521072633,np.float64(0.011979314521072633),ok,0.0064697265625,0.0064697265625,1e-09,np.float64(0.0045929108295543804),np.float64(0.020363003911255586),0.0031634143320694416,0.021096693761212044,np.float64(0.002972510419099135),np.float64(0.02098611862304613),np.float64(1.1371701699054297),no,no,no,3,0,
pickle,CCS sts ts_demean W60,early,did,notes/review_results/inference_rows_ccs.pkl,,14,0.01023277050346637,np.float64(0.01023277050346637),ok,0.015869140625,0.015869140625,1e-09,np.float64(0.003121392286638664),np.float64(0.017439106561791377),0.002061569724731895,0.018456294729965517,np.float64(0.002047805215376281),np.float64(0.018417735791556457),np.float64(1.1450658038123727),no,no,no,2,0,
