variant,subject,condition,n_trs,mean_crosslag_deviation,signq_weighted_mean_deviation,slope_deviation_on_q,share_pairs_q_negative,mean_deviation_q_positive,mean_deviation_q_negative,sd_across_pairs,mean_abs_deviation,observed_sts,predicted_sts,residual,mean_pair_a,mean_pair_abs_q,w60_mean_crosslag_deviation,w60_signq_weighted_mean_deviation,w60_slope_deviation_on_q,w60_residual
ts_gsr,6,DMT,840,5.233077781480317e-05,0.004626218935578985,0.025129695990219466,0.5482837528604119,0.005178637853984512,-0.004171095836692294,0.03621899737761769,0.028964252212656184,1.2940099718988434,1.3079135270526916,-0.013903555153848224,0.8670758545857133,0.17198495977953587,0.00010250682074263885,0.007313558297569482,0.02493078649351622,-0.04868039970206333
ts_gsr,6,PCB,840,0.0002617863232127073,0.004437225314435957,0.024410866943209854,0.5519450800915332,0.005243789799929689,-0.003782476863939802,0.03330645999740168,0.026598603850510605,1.3000005217464725,1.3133813379284907,-0.01338081618201814,0.8695330884786282,0.1694494958170207,0.00026799327313656513,0.00760286004842368,0.026601621048382124,-0.05009723369719889
ts_gsr,7,DMT,840,2.9821797336542515e-05,0.005198879583007809,0.023364971665560976,0.5278413424866514,0.0055370173745003595,-0.004896412396687161,0.035321765075970006,0.028180071907376196,1.287146450229783,1.3063040046937573,-0.01915755446397438,0.8680229599479135,0.20854116486337806,8.303071385470215e-05,0.006672802496029586,0.022044046475317915,-0.051385914080073015
ts_gsr,7,PCB,840,-6.388230981178927e-05,0.0017911283681735207,0.006857517794952229,0.5351639969488939,0.00185790907656074,-0.001733123573858852,0.04534425098948431,0.03644604040383895,1.2507255837820082,1.2629536741202523,-0.012228090338244124,0.8599213573005478,0.22726637922587958,-3.4528431124137616e-05,0.0038628898089141717,0.011576865469855393,-0.04667064889157978
ts_gsr,8,DMT,840,3.3458519571767924e-05,0.0031276204059425554,0.01605764356459876,0.5508771929824562,0.0035191698975452425,-0.0028083953427250775,0.039908967342344885,0.03199222241486968,1.2799309210357501,1.2923575256371833,-0.012426604601433189,0.8653743164698693,0.18544953865813207,4.559421082934537e-05,0.005626765699100625,0.018701921193707793,-0.04291867795571818
ts_gsr,8,PCB,840,0.00021805636895543183,0.004590916424931585,0.020020478295148716,0.5568268497330282,0.005425613883636729,-0.003926588721496395,0.03419859970136191,0.02728971271444612,1.423067935479233,1.4405008944847546,-0.017432959005521553,0.8871040595224129,0.20594671135148027,0.00020716760232788976,0.008704320301738783,0.025268636558111533,-0.06794169944484811
ts_gsr,9,DMT,840,0.00023712534696997955,0.004896356515014332,0.020889694509876593,0.5455377574370709,0.0056478639820925075,-0.004270310445544006,0.03506597569263746,0.02796555065626474,1.2983198262097975,1.316190191578584,-0.01787036536878661,0.8691201586379552,0.20620895362128358,0.00019145030347829988,0.006464054548125742,0.021730761398367906,-0.04822727546080795
ts_gsr,9,PCB,840,0.0001740273028094862,0.004279835899205829,0.021003420372022078,0.547673531655225,0.0049232838599005705,-0.0037484088230331516,0.03535490186333432,0.028027439587262924,1.342209649991607,1.3581271467651255,-0.015917496773518502,0.8745473872320791,0.19425569575253712,0.0002169954007971005,0.007411199789924034,0.024062867293705343,-0.05373582304075438
ts_gsr,10,DMT,840,0.0002611369901427774,0.0032091316022023917,0.012844496683471334,0.5376048817696415,0.003752492679449453,-0.0027417855678278625,0.04478897628255369,0.03576590700858662,1.2937602548361755,1.3097835222276253,-0.01602326739144977,0.8677822444441904,0.22426550768249784,0.0003028657427205112,0.005888030442882092,0.017485850900981793,-0.05305543519400908
ts_gsr,10,PCB,840,-0.00010279314616990982,0.0016974028957297753,0.00738345638314602,0.5520976353928299,0.0017800863263564234,-0.0016303239920768774,0.042921540796577264,0.0341150776783021,1.3114644156941255,1.3221933090855698,-0.010728893391444227,0.8705548831560713,0.20765537358098018,-2.4589281742624766e-05,0.005257719709170834,0.016826271108778428,-0.0495016209859105
ts_gsr,11,DMT,840,-1.4425658212115774e-05,0.0034510524305331634,0.018085330750439957,0.5455377574370709,0.003780981620101455,-0.003176203701303874,0.036758910529135956,0.029374028152783966,1.233564226950096,1.2455915157694835,-0.012027288819387527,0.8578534799984423,0.18360223127032022,0.00012534387215281666,0.005600740368404801,0.019262325106306648,-0.04394999931659636
ts_gsr,11,PCB,840,8.298180483723485e-05,0.0017085609293046298,0.008203360364785622,0.5458428680396644,0.001972382032633511,-0.0014890541029742561,0.043751447486834565,0.0351846151234343,1.24442496300698,1.256399445847917,-0.011974482840937162,0.8602351574800029,0.20789193430344022,0.00019584754972730873,0.004684670566476006,0.014495852658166605,-0.046960483646478555
ts_gsr,12,DMT,840,0.00015620042360440538,0.003956254686930713,0.01867378856680473,0.5429443173150267,0.004498855682502955,-0.00349948801574936,0.037674087693841216,0.029926873689517457,1.2788413189545775,1.2933370998277387,-0.014495780873161168,0.8664125463172427,0.19557058672878916,0.00017974906181348447,0.006572706170765998,0.021781946190822608,-0.04981706966313183
ts_gsr,12,PCB,840,0.00015171044950430349,0.0034774977280562698,0.016208475081220586,0.548741418764302,0.004021206829599317,-0.0030303774827506453,0.039810494196227265,0.03178110654738528,1.3142900021233321,1.3286130280057993,-0.014323025882467144,0.8725251784305417,0.19019658546633844,0.00016251117865888104,0.007106650100792192,0.023242312956635303,-0.05253716538197211
ts_gsr,13,DMT,840,5.1289009417208187e-05,0.0024540868796789203,0.01325059519578271,0.5441647597254005,0.002748115621322812,-0.002207785259260657,0.03668153652787538,0.02926177210645642,1.2523215581933667,1.2613066440511274,-0.0089850858577607,0.8578497510487787,0.17204904000096705,-5.570245122222765e-06,0.005270892052096076,0.01838926945995234,-0.04376976269764066
ts_gsr,13,PCB,840,1.077309683966612e-05,0.003626972507788826,0.01503350434427838,0.5350114416475973,0.00391165066245731,-0.0033795533417125385,0.04632877562895711,0.037329868539754694,1.2939817364372563,1.3118565768228996,-0.017874840385643243,0.8691958396046666,0.22237124036804243,8.66674213319562e-05,0.005609818286308563,0.018250210082762564,-0.05281846047297456
ts_gsr,14,DMT,840,-3.827432042031237e-05,0.004842711971547926,0.020649912803251635,0.5382151029748283,0.005202029865071276,-0.004534419663244304,0.045088073357753465,0.03626931251905803,1.1994161415959983,1.2170067189311435,-0.01759057733514524,0.8537353706466035,0.2115594553895358,5.085119568910447e-05,0.005560965209015119,0.016994184979880176,-0.051620301138394054
ts_gsr,14,PCB,840,5.5482715049885346e-05,0.002376693186918246,0.012574064103520136,0.556979405034325,0.002744991914153082,-0.0020837489240067247,0.037414440068576096,0.029794755256043717,1.2293509406540006,1.2381262494834728,-0.008775308829472195,0.8540671763378047,0.1675336091534684,0.0001656323285319947,0.004537357939818125,0.01671127385978726,-0.038960799320239645
ts_demean,1,DMT,840,-0.008268289885255008,-0.006700547725977013,0.02923249997625244,0.04103737604881769,-0.007804703352022422,-0.01910139378079415,0.03567579666454235,0.028803062214664,1.1563386832556033,1.151755251610276,0.004583431645327263,0.84666295576395,0.3243141776315705,-0.008590432111762797,-0.0023312529684941493,0.029253471902085937,-0.03383309998738647
ts_demean,1,PCB,840,-0.009534586050100562,-0.004477863487007456,0.013995592696812087,0.18276125095347062,-0.008573045241342454,-0.013834230551366986,0.04837679232131385,0.03890899806625424,1.1899994834397936,1.1846855942885073,0.005313889151286277,0.8503976542759965,0.24110651177419581,-0.010164092965815774,-0.0006834870085840378,0.021179520601052885,-0.02819217682781679
ts_demean,2,DMT,840,-0.005628733004085662,4.5846566844052634e-05,0.01946108797599751,0.27185354691075514,-0.0038336288074710605,-0.010436831954950695,0.04075534674524632,0.03280705506544537,1.2163988374326251,1.2232804106556534,-0.006881573223028292,0.8547192170929842,0.19492202744234263,-0.004757147583005785,0.0038917076693816863,0.021070169837154585,-0.039446333657172296
ts_demean,2,PCB,840,-0.006998618209104377,-0.0013525902653102456,0.012671427552102425,0.2776506483600305,-0.005780588336830817,-0.010167503618563332,0.04817993825604429,0.03939825811587189,1.261183143069919,1.2642434413571817,-0.0030602982872627305,0.8613501395141996,0.20798801392319963,-0.00619840360934115,0.0030082963699314827,0.019526045206354977,-0.0416803337856981
ts_demean,3,DMT,840,-0.009564758188340478,-0.003958233843687256,0.02033321526652793,0.1931350114416476,-0.00837995961145224,-0.014514520963349873,0.04093101843344671,0.03356641366264188,1.1826063592684455,1.1805109236290818,0.002095435639363652,0.8465398383683606,0.19862248217621212,-0.0072854062798883065,0.001140135626650799,0.020706841526695823,-0.0321271073251991
ts_demean,3,PCB,839,-0.00594288153376087,0.0030318722750639336,0.021164560654288074,0.34950419527078563,-0.0022375311551076946,-0.012839264778884025,0.03636958394327099,0.029297250731029966,1.2783596571556106,1.2915504928420418,-0.013190835686431202,0.8672279072158438,0.23362660005588615,-0.005626865476995623,0.005468383948787632,0.02278410543154149,-0.047092938833295496
ts_demean,4,DMT,840,-0.005649141204912412,-0.0008115627626075813,0.022927294443257015,0.1969488939740656,-0.004022598262451896,-0.012281303907555446,0.03855232810221922,0.030896126163361324,1.2791265915171441,1.2813858955700328,-0.0022593040528886554,0.8652631699752515,0.1873186234814784,-0.005421105690976842,0.004153680527972275,0.028707966984445814,-0.037035164520191274
ts_demean,4,PCB,840,-0.005681319815436309,-0.0009979005630443884,0.024606298869473756,0.18184591914569032,-0.004081884167531324,-0.0128774384225793,0.03270706632040377,0.026685467097493615,1.3096236751039803,1.3121594253040363,-0.0025357502000560306,0.8712853856908156,0.2014731454138637,-0.005814145697718064,0.005013126326219449,0.03112457864792188,-0.041331345681649694
