# partB17_calibration.py; one row per condition × estimator × replicate; git=f1f5fcc
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(i) Δa = −0.015, Δc = 0,global (run-level prediction),21,1.132355,-0.058547,0.000000,-0.058547,0.0001,-0.067858,-0.047629,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),21,1.132355,-0.058547,-0.068545,0.009998,0.0070,0.003889,0.015441,nan,nan
(i) Δa = −0.015, Δc = 0,W60,22,0.712365,-0.045917,-0.052286,0.006369,0.0006,0.004106,0.008651,0.000303,0.000805
(i) Δa = −0.015, Δc = 0,global (run-level prediction),22,1.134227,-0.083366,0.000000,-0.083366,0.0001,-0.096542,-0.070348,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),22,1.134227,-0.083366,-0.090620,0.007254,0.0946,-0.000122,0.014492,nan,nan
(i) Δa = −0.015, Δc = 0,W60,23,0.713794,-0.036135,-0.040383,0.004247,0.0095,0.001554,0.006681,0.000647,0.001232
(i) Δa = −0.015, Δc = 0,global (run-level prediction),23,1.127462,-0.057355,-0.000000,-0.057355,0.0001,-0.067440,-0.048344,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),23,1.127462,-0.057355,-0.070630,0.013275,0.0015,0.007530,0.019365,nan,nan
(i) Δa = −0.015, Δc = 0,W60,24,0.718474,-0.048085,-0.050841,0.002756,0.1196,-0.000467,0.005805,-0.000140,0.001533
(i) Δa = −0.015, Δc = 0,global (run-level prediction),24,1.135708,-0.071327,-0.000000,-0.071327,0.0001,-0.079455,-0.063447,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),24,1.135708,-0.071327,-0.077422,0.006095,0.1509,-0.001603,0.013744,nan,nan
(i) Δa = −0.015, Δc = 0,W60,25,0.712490,-0.041944,-0.044751,0.002807,0.0503,0.000303,0.005560,-0.000379,0.000606
(i) Δa = −0.015, Δc = 0,global (run-level prediction),25,1.127503,-0.062441,0.000000,-0.062441,0.0001,-0.073040,-0.052706,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),25,1.127503,-0.062441,-0.071829,0.009388,0.0294,0.001802,0.016351,nan,nan
(i) Δa = −0.015, Δc = 0,W60,26,0.714616,-0.034473,-0.040152,0.005679,0.0298,0.001379,0.009943,0.000840,0.000845
(i) Δa = −0.015, Δc = 0,global (run-level prediction),26,1.126948,-0.062575,0.000000,-0.062575,0.0001,-0.075811,-0.049728,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),26,1.126948,-0.062575,-0.069429,0.006854,0.0808,0.000107,0.013081,nan,nan
(i) Δa = −0.015, Δc = 0,W60,27,0.713369,-0.042620,-0.048221,0.005601,0.0109,0.001911,0.009067,0.000432,0.000296
(i) Δa = −0.015, Δc = 0,global (run-level prediction),27,1.130597,-0.067301,0.000000,-0.067301,0.0001,-0.077797,-0.057816,nan,nan
(i) Δa = −0.015, Δc = 0,global (period-level prediction),27,1.130597,-0.067301,-0.075284,0.007983,0.0239,0.002063,0.013717,nan,nan
