# partB17_calibration.py; one row per condition × estimator × replicate; git=f1f5fcc
condition,estimator,replicate,sts_level_pre,sts_did,pred_did,res_did,res_p,res_ci_lo,res_ci_hi,sym_did,anti_did
(ii) Δc = +0.02,global (period-level prediction),31,1.144809,0.005957,0.014738,-0.008782,0.0002,-0.012872,-0.005248,nan,nan
(ii) Δc = +0.02,W60,32,0.712929,-0.000474,0.006446,-0.006920,0.0249,-0.011917,-0.002079,0.015018,0.000351
(ii) Δc = +0.02,global (run-level prediction),32,1.139465,-0.004971,0.000000,-0.004971,0.2985,-0.013283,0.004098,nan,nan
(ii) Δc = +0.02,global (period-level prediction),32,1.139465,-0.004971,0.005388,-0.010358,0.0018,-0.015332,-0.005683,nan,nan
(ii) Δc = +0.02,W60,33,0.714217,-0.003767,0.001068,-0.004835,0.0092,-0.007983,-0.001665,0.015157,-0.000823
(ii) Δc = +0.02,global (run-level prediction),33,1.142625,-0.004499,0.000000,-0.004499,0.2555,-0.011404,0.003047,nan,nan
(ii) Δc = +0.02,global (period-level prediction),33,1.142625,-0.004499,0.007196,-0.011695,0.0011,-0.016432,-0.006560,nan,nan
(ii) Δc = +0.02,W60,34,0.714442,-0.008098,-0.003479,-0.004619,0.0364,-0.008176,-0.000708,0.016167,0.000157
(ii) Δc = +0.02,global (run-level prediction),34,1.141755,-0.010673,0.000000,-0.010673,0.0028,-0.016109,-0.005142,nan,nan
(ii) Δc = +0.02,global (period-level prediction),34,1.141755,-0.010673,-0.000752,-0.009921,0.0044,-0.014770,-0.004529,nan,nan
(ii) Δc = +0.02,W60,35,0.719439,-0.006671,-0.000553,-0.006118,0.0010,-0.009726,-0.002808,0.015289,0.000683
(ii) Δc = +0.02,global (run-level prediction),35,1.151936,-0.012572,-0.000000,-0.012572,0.0234,-0.021736,-0.003608,nan,nan
(ii) Δc = +0.02,global (period-level prediction),35,1.151936,-0.012572,0.002991,-0.015563,0.0009,-0.022835,-0.008437,nan,nan
(ii) Δc = +0.02,W60,36,0.711464,0.002263,0.007027,-0.004763,0.0214,-0.008222,-0.001312,0.015395,-0.001553
(ii) Δc = +0.02,global (run-level prediction),36,1.141193,0.001864,0.000000,0.001864,0.7504,-0.009127,0.012172,nan,nan
(ii) Δc = +0.02,global (period-level prediction),36,1.141193,0.001864,0.010200,-0.008336,0.0194,-0.013438,-0.002399,nan,nan
(ii) Δc = +0.02,W60,37,0.712974,0.002045,0.005570,-0.003525,0.0281,-0.005764,-0.000816,0.014242,-0.000559
(ii) Δc = +0.02,global (run-level prediction),37,1.141411,0.000466,-0.000000,0.000466,0.8967,-0.006463,0.007424,nan,nan
(ii) Δc = +0.02,global (period-level prediction),37,1.141411,0.000466,0.014170,-0.013704,0.0026,-0.020340,-0.007009,nan,nan
(ii) Δc = +0.02,W60,38,0.717262,-0.007115,-0.001858,-0.005258,0.0078,-0.008458,-0.001995,0.014442,-0.001315
(ii) Δc = +0.02,global (run-level prediction),38,1.144634,-0.005314,-0.000000,-0.005314,0.2931,-0.014464,0.003807,nan,nan
(ii) Δc = +0.02,global (period-level prediction),38,1.144634,-0.005314,0.007040,-0.012354,0.0056,-0.020031,-0.005185,nan,nan
(ii) Δc = +0.02,W60,39,0.713922,-0.002328,0.001778,-0.004105,0.0164,-0.006550,-0.001339,0.014617,-0.000205
(ii) Δc = +0.02,global (run-level prediction),39,1.143821,-0.009345,-0.000000,-0.009345,0.0381,-0.015816,-0.001660,nan,nan
(ii) Δc = +0.02,global (period-level prediction),39,1.143821,-0.009345,0.006305,-0.015649,0.0006,-0.020381,-0.010436,nan,nan
(ii) Δc = +0.02,W60,40,0.717673,-0.000431,0.005006,-0.005437,0.0129,-0.009019,-0.001902,0.014563,-0.001125
(ii) Δc = +0.02,global (run-level prediction),40,1.145985,-0.003168,0.000000,-0.003168,0.4669,-0.011873,0.004552,nan,nan
(ii) Δc = +0.02,global (period-level prediction),40,1.145985,-0.003168,0.011146,-0.014314,0.0004,-0.020439,-0.009029,nan,nan
(ii) Δc = +0.02,W60,41,0.715661,0.002542,0.007660,-0.005118,0.0345,-0.009842,-0.001036,0.015097,-0.000514
(ii) Δc = +0.02,global (run-level prediction),41,1.148746,-0.009901,0.000000,-0.009901,0.0854,-0.019831,-0.000065,nan,nan
(ii) Δc = +0.02,global (period-level prediction),41,1.148746,-0.009901,0.008350,-0.018251,0.0002,-0.023572,-0.012907,nan,nan
(ii) Δc = +0.02,W60,42,0.714753,-0.002555,0.001000,-0.003555,0.0894,-0.007283,0.000398,0.013772,-0.001137
(ii) Δc = +0.02,global (run-level prediction),42,1.144402,-0.005555,-0.000000,-0.005555,0.0962,-0.011514,-0.000087,nan,nan
(ii) Δc = +0.02,global (period-level prediction),42,1.144402,-0.005555,0.003628,-0.009183,0.0081,-0.013656,-0.004007,nan,nan
(ii) Δc = +0.02,W60,43,0.716767,-0.000608,0.003954,-0.004562,0.0110,-0.007131,-0.001868,0.014911,-0.000377
(ii) Δc = +0.02,global (run-level prediction),43,1.141980,-0.001833,-0.000000,-0.001833,0.5698,-0.007961,0.004219,nan,nan
(ii) Δc = +0.02,global (period-level prediction),43,1.141980,-0.001833,0.010239,-0.012073,0.0015,-0.017417,-0.006931,nan,nan
(ii) Δc = +0.02,W60,44,0.717507,-0.001532,0.006232,-0.007764,0.0035,-0.011644,-0.003870,0.014066,0.001741
(ii) Δc = +0.02,global (run-level prediction),44,1.143308,0.000763,-0.000000,0.000763,0.8782,-0.008235,0.009854,nan,nan
(ii) Δc = +0.02,global (period-level prediction),44,1.143308,0.000763,0.012705,-0.011942,0.0018,-0.016552,-0.006720,nan,nan
(ii) Δc = +0.02,W60,45,0.716713,-0.005184,0.001685,-0.006869,0.0009,-0.010540,-0.003420,0.015165,-0.000946
(ii) Δc = +0.02,global (run-level prediction),45,1.143397,-0.008679,0.000000,-0.008679,0.0815,-0.017394,-0.000155,nan,nan
(ii) Δc = +0.02,global (period-level prediction),45,1.143397,-0.008679,0.006416,-0.015095,0.0007,-0.019893,-0.009809,nan,nan
(ii) Δc = +0.02,W60,46,0.716626,0.000815,0.007633,-0.006818,0.0006,-0.009377,-0.004284,0.016710,0.000280
(ii) Δc = +0.02,global (run-level prediction),46,1.144805,-0.000717,0.000000,-0.000717,0.8947,-0.010861,0.009589,nan,nan
(ii) Δc = +0.02,global (period-level prediction),46,1.144805,-0.000717,0.011220,-0.011937,0.0042,-0.017799,-0.005638,nan,nan
(ii) Δc = +0.02,W60,47,0.712684,0.005303,0.007941,-0.002637,0.1787,-0.006345,0.000730,0.015811,-0.001382
(ii) Δc = +0.02,global (run-level prediction),47,1.144774,-0.000770,-0.000000,-0.000770,0.8859,-0.011023,0.008540,nan,nan
(ii) Δc = +0.02,global (period-level prediction),47,1.144774,-0.000770,0.014430,-0.015200,0.0001,-0.019974,-0.010805,nan,nan
(ii) Δc = +0.02,W60,48,0.717288,-0.000396,0.004234,-0.004631,0.0222,-0.008068,-0.001478,0.014728,-0.000079
(ii) Δc = +0.02,global (run-level prediction),48,1.145667,-0.004067,0.000000,-0.004067,0.3292,-0.011621,0.004319,nan,nan
(ii) Δc = +0.02,global (period-level prediction),48,1.145667,-0.004067,0.008962,-0.013029,0.0005,-0.019187,-0.007562,nan,nan
(ii) Δc = +0.02,W60,49,0.717281,-0.003039,0.002647,-0.005686,0.0010,-0.008119,-0.003306,0.015224,-0.000988
(ii) Δc = +0.02,global (run-level prediction),49,1.147750,-0.014643,-0.000000,-0.014643,0.0009,-0.022394,-0.008129,nan,nan
(ii) Δc = +0.02,global (period-level prediction),49,1.147750,-0.014643,0.004483,-0.019125,0.0006,-0.026743,-0.011896,nan,nan
(ii) Δc = +0.02,W60,50,0.711891,0.003189,0.008909,-0.005719,0.0081,-0.009316,-0.002211,0.015020,-0.000635
(ii) Δc = +0.02,global (run-level prediction),50,1.144911,0.001716,0.000000,0.001716,0.6826,-0.005938,0.009878,nan,nan
(ii) Δc = +0.02,global (period-level prediction),50,1.144911,0.001716,0.009807,-0.008091,0.0691,-0.014518,0.000238,nan,nan
(ii) Δc = +0.03,W60,1,0.716446,-0.004222,0.005375,-0.009596,0.0004,-0.012776,-0.006209,0.022698,-0.000317
(ii) Δc = +0.03,global (run-level prediction),1,1.156444,-0.009587,0.000000,-0.009587,0.0781,-0.019053,-0.000297,nan,nan
(ii) Δc = +0.03,global (period-level prediction),1,1.156444,-0.009587,0.018073,-0.027660,0.0002,-0.034829,-0.019851,nan,nan
(ii) Δc = +0.03,W60,2,0.712596,0.002650,0.015277,-0.012627,0.0001,-0.016321,-0.009181,0.023186,-0.000621
(ii) Δc = +0.03,global (run-level prediction),2,1.147959,-0.003674,0.000000,-0.003674,0.5729,-0.015868,0.008489,nan,nan
(ii) Δc = +0.03,global (period-level prediction),2,1.147959,-0.003674,0.024080,-0.027754,0.0001,-0.034551,-0.020904,nan,nan
(ii) Δc = +0.03,W60,3,0.710350,0.006437,0.016563,-0.010126,0.0002,-0.013126,-0.007131,0.021289,-0.000403
(ii) Δc = +0.03,global (run-level prediction),3,1.146119,-0.001260,-0.000000,-0.001260,0.8463,-0.012957,0.009480,nan,nan
(ii) Δc = +0.03,global (period-level prediction),3,1.146119,-0.001260,0.023506,-0.024766,0.0001,-0.030639,-0.019693,nan,nan
(ii) Δc = +0.03,W60,4,0.717915,0.001664,0.010900,-0.009236,0.0002,-0.013353,-0.005438,0.022542,-0.000573
(ii) Δc = +0.03,global (run-level prediction),4,1.156447,-0.008796,-0.000000,-0.008796,0.0458,-0.016080,-0.000879,nan,nan
(ii) Δc = +0.03,global (period-level prediction),4,1.156447,-0.008796,0.019294,-0.028090,0.0001,-0.033701,-0.021694,nan,nan
(ii) Δc = +0.03,W60,5,0.712675,0.001419,0.012838,-0.011419,0.0004,-0.015217,-0.007432,0.021715,-0.000800
(ii) Δc = +0.03,global (run-level prediction),5,1.152533,-0.014032,0.000000,-0.014032,0.0129,-0.023119,-0.005646,nan,nan
(ii) Δc = +0.03,global (period-level prediction),5,1.152533,-0.014032,0.020801,-0.034833,0.0001,-0.039032,-0.030364,nan,nan
(ii) Δc = +0.03,W60,6,0.713750,0.003104,0.014893,-0.011790,0.0006,-0.015716,-0.007331,0.022114,-0.001020
(ii) Δc = +0.03,global (run-level prediction),6,1.146081,-0.001011,-0.000000,-0.001011,0.8573,-0.012259,0.010355,nan,nan
(ii) Δc = +0.03,global (period-level prediction),6,1.146081,-0.001011,0.025409,-0.026420,0.0001,-0.033977,-0.018551,nan,nan
(ii) Δc = +0.03,W60,7,0.714086,0.003842,0.014695,-0.010853,0.0001,-0.014193,-0.007620,0.021950,-0.000789
(ii) Δc = +0.03,global (run-level prediction),7,1.153336,-0.007571,-0.000000,-0.007571,0.1031,-0.015671,0.000886,nan,nan
(ii) Δc = +0.03,global (period-level prediction),7,1.153336,-0.007571,0.021299,-0.028870,0.0001,-0.036694,-0.021133,nan,nan
(ii) Δc = +0.03,W60,8,0.712462,0.004669,0.016977,-0.012308,0.0001,-0.015007,-0.009644,0.022710,-0.000916
(ii) Δc = +0.03,global (run-level prediction),8,1.149599,-0.002559,0.000000,-0.002559,0.4139,-0.008230,0.003723,nan,nan
(ii) Δc = +0.03,global (period-level prediction),8,1.149599,-0.002559,0.024922,-0.027481,0.0001,-0.032435,-0.022980,nan,nan
(ii) Δc = +0.03,W60,9,0.715409,0.000722,0.013994,-0.013273,0.0005,-0.017330,-0.008625,0.021795,-0.001124
(ii) Δc = +0.03,global (run-level prediction),9,1.154532,-0.006258,0.000000,-0.006258,0.2245,-0.015327,0.003245,nan,nan
(ii) Δc = +0.03,global (period-level prediction),9,1.154532,-0.006258,0.024340,-0.030598,0.0001,-0.037331,-0.023245,nan,nan
(ii) Δc = +0.03,W60,10,0.715310,-0.003726,0.010176,-0.013902,0.0001,-0.017699,-0.010840,0.022442,-0.000386
(ii) Δc = +0.03,global (run-level prediction),10,1.152945,-0.017356,-0.000000,-0.017356,0.0018,-0.025269,-0.009849,nan,nan
(ii) Δc = +0.03,global (period-level prediction),10,1.152945,-0.017356,0.013037,-0.030393,0.0001,-0.035809,-0.025232,nan,nan
(ii) Δc = +0.03,W60,11,0.714928,0.001355,0.012177,-0.010822,0.0001,-0.013940,-0.007612,0.021657,-0.001060
(ii) Δc = +0.03,global (run-level prediction),11,1.150995,-0.009041,-0.000000,-0.009041,0.0842,-0.018064,0.000686,nan,nan
(ii) Δc = +0.03,global (period-level prediction),11,1.150995,-0.009041,0.017030,-0.026072,0.0001,-0.030854,-0.021925,nan,nan
(ii) Δc = +0.03,W60,12,0.713264,-0.001620,0.007812,-0.009432,0.0001,-0.011280,-0.007671,0.023051,-0.000324
(ii) Δc = +0.03,global (run-level prediction),12,1.151831,-0.010460,-0.000000,-0.010460,0.0430,-0.018929,-0.001500,nan,nan
(ii) Δc = +0.03,global (period-level prediction),12,1.151831,-0.010460,0.016735,-0.027195,0.0001,-0.032396,-0.021780,nan,nan
(ii) Δc = +0.03,W60,13,0.713322,-0.003140,0.006687,-0.009827,0.0001,-0.014086,-0.006312,0.022714,0.000463
(ii) Δc = +0.03,global (run-level prediction),13,1.146403,-0.005099,0.000000,-0.005099,0.2729,-0.013743,0.004380,nan,nan
(ii) Δc = +0.03,global (period-level prediction),13,1.146403,-0.005099,0.019509,-0.024608,0.0001,-0.030837,-0.018428,nan,nan
(ii) Δc = +0.03,W60,14,0.717335,-0.001625,0.005022,-0.006647,0.0046,-0.010852,-0.002874,0.022419,-0.000722
(ii) Δc = +0.03,global (run-level prediction),14,1.152974,-0.011041,-0.000000,-0.011041,0.0547,-0.022471,-0.001364,nan,nan
(ii) Δc = +0.03,global (period-level prediction),14,1.152974,-0.011041,0.013524,-0.024565,0.0001,-0.032872,-0.016470,nan,nan
(ii) Δc = +0.03,W60,15,0.719174,-0.001513,0.010763,-0.012276,0.0001,-0.015599,-0.008640,0.023228,-0.000599
(ii) Δc = +0.03,global (run-level prediction),15,1.152071,-0.003091,0.000000,-0.003091,0.5302,-0.011564,0.005764,nan,nan
(ii) Δc = +0.03,global (period-level prediction),15,1.152071,-0.003091,0.023410,-0.026501,0.0001,-0.035499,-0.017597,nan,nan
(ii) Δc = +0.03,W60,16,0.714574,-0.004374,0.008585,-0.012959,0.0001,-0.015742,-0.010108,0.022485,-0.000454
(ii) Δc = +0.03,global (run-level prediction),16,1.148664,-0.006415,-0.000000,-0.006415,0.1194,-0.013545,0.000193,nan,nan
(ii) Δc = +0.03,global (period-level prediction),16,1.148664,-0.006415,0.019521,-0.025936,0.0001,-0.033256,-0.018741,nan,nan
(ii) Δc = +0.03,W60,17,0.715381,-0.003447,0.008639,-0.012086,0.0005,-0.016418,-0.007358,0.021094,-0.000763
(ii) Δc = +0.03,global (run-level prediction),17,1.149906,-0.008317,-0.000000,-0.008317,0.0454,-0.015013,-0.001536,nan,nan
(ii) Δc = +0.03,global (period-level prediction),17,1.149906,-0.008317,0.020260,-0.028578,0.0001,-0.034170,-0.022698,nan,nan
(ii) Δc = +0.03,W60,18,0.714303,-0.001526,0.011982,-0.013508,0.0001,-0.015941,-0.010935,0.021830,-0.001707
(ii) Δc = +0.03,global (run-level prediction),18,1.147669,-0.007006,0.000000,-0.007006,0.0535,-0.012622,-0.000390,nan,nan
(ii) Δc = +0.03,global (period-level prediction),18,1.147669,-0.007006,0.020808,-0.027814,0.0001,-0.032677,-0.022481,nan,nan
(ii) Δc = +0.03,W60,19,0.715354,-0.004869,0.008039,-0.012908,0.0004,-0.018393,-0.008255,0.022326,-0.000366
(ii) Δc = +0.03,global (run-level prediction),19,1.149027,-0.010646,0.000000,-0.010646,0.0406,-0.019335,-0.001662,nan,nan
(ii) Δc = +0.03,global (period-level prediction),19,1.149027,-0.010646,0.017052,-0.027697,0.0001,-0.034801,-0.021271,nan,nan
(ii) Δc = +0.03,W60,20,0.716780,-0.001465,0.007529,-0.008995,0.0009,-0.012092,-0.005338,0.021289,-0.000174
(ii) Δc = +0.03,global (run-level prediction),20,1.154242,-0.013937,-0.000000,-0.013937,0.0231,-0.024239,-0.004030,nan,nan
(ii) Δc = +0.03,global (period-level prediction),20,1.154242,-0.013937,0.015831,-0.029768,0.0001,-0.038319,-0.021134,nan,nan
(ii) Δc = +0.03,W60,21,0.713173,0.005133,0.017964,-0.012830,0.0002,-0.016471,-0.009047,0.023591,-0.001102
(ii) Δc = +0.03,global (run-level prediction),21,1.148250,-0.004552,-0.000000,-0.004552,0.3407,-0.013174,0.004016,nan,nan
(ii) Δc = +0.03,global (period-level prediction),21,1.148250,-0.004552,0.021452,-0.026004,0.0002,-0.034502,-0.017978,nan,nan
(ii) Δc = +0.03,W60,22,0.715572,0.001334,0.011571,-0.010237,0.0001,-0.014613,-0.006998,0.022178,-0.001586
(ii) Δc = +0.03,global (run-level prediction),22,1.154805,-0.013211,-0.000000,-0.013211,0.0033,-0.020263,-0.006820,nan,nan
(ii) Δc = +0.03,global (period-level prediction),22,1.154805,-0.013211,0.013758,-0.026970,0.0001,-0.032209,-0.021737,nan,nan
(ii) Δc = +0.03,W60,23,0.719727,-0.002426,0.010403,-0.012829,0.0002,-0.016098,-0.008698,0.021835,-0.001942
(ii) Δc = +0.03,global (run-level prediction),23,1.155872,-0.010589,-0.000000,-0.010589,0.0555,-0.020652,-0.001504,nan,nan
(ii) Δc = +0.03,global (period-level prediction),23,1.155872,-0.010589,0.016006,-0.026595,0.0002,-0.031739,-0.020157,nan,nan
(ii) Δc = +0.03,W60,24,0.714861,0.001705,0.009532,-0.007828,0.0001,-0.010862,-0.004805,0.021448,-0.000844
(ii) Δc = +0.03,global (run-level prediction),24,1.146687,-0.004948,0.000000,-0.004948,0.4056,-0.016017,0.006451,nan,nan
(ii) Δc = +0.03,global (period-level prediction),24,1.146687,-0.004948,0.020971,-0.025919,0.0002,-0.033942,-0.018685,nan,nan
(ii) Δc = +0.03,W60,25,0.717165,-0.005688,0.006544,-0.012232,0.0001,-0.015022,-0.009368,0.022109,-0.000378
(ii) Δc = +0.03,global (run-level prediction),25,1.149473,-0.007991,-0.000000,-0.007991,0.1958,-0.018527,0.003176,nan,nan
(ii) Δc = +0.03,global (period-level prediction),25,1.149473,-0.007991,0.020700,-0.028691,0.0001,-0.033498,-0.024716,nan,nan
(ii) Δc = +0.03,W60,26,0.716865,0.001708,0.010825,-0.009117,0.0004,-0.012013,-0.005919,0.022821,-0.000870
(ii) Δc = +0.03,global (run-level prediction),26,1.152334,-0.001006,0.000000,-0.001006,0.8832,-0.014887,0.011757,nan,nan
(ii) Δc = +0.03,global (period-level prediction),26,1.152334,-0.001006,0.023405,-0.024411,0.0001,-0.029054,-0.020192,nan,nan
(ii) Δc = +0.03,W60,27,0.714753,-0.000534,0.007662,-0.008196,0.0013,-0.011788,-0.004506,0.022459,-0.000630
(ii) Δc = +0.03,global (run-level prediction),27,1.146872,-0.004989,0.000000,-0.004989,0.3375,-0.014433,0.003861,nan,nan
(ii) Δc = +0.03,global (period-level prediction),27,1.146872,-0.004989,0.018797,-0.023786,0.0001,-0.029331,-0.018863,nan,nan
(ii) Δc = +0.03,W60,28,0.713378,0.010103,0.019153,-0.009050,0.0006,-0.013056,-0.005432,0.021227,-0.001508
(ii) Δc = +0.03,global (run-level prediction),28,1.152649,-0.008590,0.000000,-0.008590,0.1125,-0.017079,0.001908,nan,nan
(ii) Δc = +0.03,global (period-level prediction),28,1.152649,-0.008590,0.024437,-0.033027,0.0001,-0.038336,-0.026917,nan,nan
(ii) Δc = +0.03,W60,29,0.716233,0.002713,0.014628,-0.011915,0.0002,-0.016346,-0.007693,0.022303,-0.000255
(ii) Δc = +0.03,global (run-level prediction),29,1.152790,-0.007488,-0.000000,-0.007488,0.0787,-0.016357,-0.000483,nan,nan
(ii) Δc = +0.03,global (period-level prediction),29,1.152790,-0.007488,0.021156,-0.028644,0.0001,-0.033171,-0.023721,nan,nan
(ii) Δc = +0.03,W60,30,0.713924,-0.001308,0.006322,-0.007630,0.0016,-0.011210,-0.004059,0.021964,-0.001037
(ii) Δc = +0.03,global (run-level prediction),30,1.151390,-0.006694,0.000000,-0.006694,0.1229,-0.014351,0.000683,nan,nan
(ii) Δc = +0.03,global (period-level prediction),30,1.151390,-0.006694,0.019975,-0.026669,0.0002,-0.033152,-0.019730,nan,nan
(ii) Δc = +0.03,W60,31,0.717215,0.002665,0.013293,-0.010628,0.0001,-0.013899,-0.007846,0.022514,-0.001354
(ii) Δc = +0.03,global (run-level prediction),31,1.151638,-0.010524,0.000000,-0.010524,0.1123,-0.021660,0.001764,nan,nan
(ii) Δc = +0.03,global (period-level prediction),31,1.151638,-0.010524,0.015516,-0.026041,0.0001,-0.031893,-0.019764,nan,nan
(ii) Δc = +0.03,W60,32,0.713911,0.001892,0.011115,-0.009224,0.0052,-0.014624,-0.004023,0.022741,-0.000699
(ii) Δc = +0.03,global (run-level prediction),32,1.151217,-0.007366,-0.000000,-0.007366,0.2001,-0.017293,0.001973,nan,nan
(ii) Δc = +0.03,global (period-level prediction),32,1.151217,-0.007366,0.017468,-0.024834,0.0002,-0.032524,-0.016830,nan,nan
(ii) Δc = +0.03,W60,33,0.713308,-0.001963,0.008550,-0.010513,0.0004,-0.013879,-0.007259,0.021187,-0.000499
(ii) Δc = +0.03,global (run-level prediction),33,1.149417,-0.010918,-0.000000,-0.010918,0.0045,-0.016664,-0.005037,nan,nan
(ii) Δc = +0.03,global (period-level prediction),33,1.149417,-0.010918,0.017236,-0.028155,0.0001,-0.032847,-0.023676,nan,nan
(ii) Δc = +0.03,W60,34,0.716262,-0.000166,0.011487,-0.011652,0.0002,-0.014569,-0.008261,0.021336,-0.001362
(ii) Δc = +0.03,global (run-level prediction),34,1.150918,-0.010224,-0.000000,-0.010224,0.0304,-0.017731,-0.001995,nan,nan
(ii) Δc = +0.03,global (period-level prediction),34,1.150918,-0.010224,0.019967,-0.030191,0.0001,-0.037318,-0.023810,nan,nan
(ii) Δc = +0.03,W60,35,0.712605,0.003626,0.013483,-0.009857,0.0002,-0.012977,-0.006678,0.020987,-0.000742
(ii) Δc = +0.03,global (run-level prediction),35,1.149400,-0.006882,0.000000,-0.006882,0.0953,-0.014396,0.000099,nan,nan
(ii) Δc = +0.03,global (period-level prediction),35,1.149400,-0.006882,0.015584,-0.022466,0.0001,-0.026200,-0.018507,nan,nan
(ii) Δc = +0.03,W60,36,0.712894,0.000059,0.012169,-0.012109,0.0004,-0.017061,-0.007702,0.020942,-0.001450
(ii) Δc = +0.03,global (run-level prediction),36,1.148658,-0.010635,-0.000000,-0.010635,0.0577,-0.020441,-0.001530,nan,nan
(ii) Δc = +0.03,global (period-level prediction),36,1.148658,-0.010635,0.020343,-0.030978,0.0001,-0.038817,-0.023354,nan,nan
(ii) Δc = +0.03,W60,37,0.721114,-0.002633,0.007524,-0.010157,0.0001,-0.012800,-0.007443,0.021772,-0.000725
(ii) Δc = +0.03,global (run-level prediction),37,1.157135,-0.010766,-0.000000,-0.010766,0.0295,-0.019184,-0.002778,nan,nan
(ii) Δc = +0.03,global (period-level prediction),37,1.157135,-0.010766,0.014330,-0.025096,0.0002,-0.031781,-0.018257,nan,nan
(ii) Δc = +0.03,W60,38,0.714331,0.002109,0.012871,-0.010762,0.0005,-0.015383,-0.006512,0.023315,-0.001689
(ii) Δc = +0.03,global (run-level prediction),38,1.150852,-0.008169,-0.000000,-0.008169,0.1670,-0.019521,0.001829,nan,nan
(ii) Δc = +0.03,global (period-level prediction),38,1.150852,-0.008169,0.024478,-0.032647,0.0001,-0.040122,-0.025804,nan,nan
(ii) Δc = +0.03,W60,39,0.714904,-0.001729,0.009686,-0.011415,0.0002,-0.014434,-0.008374,0.022136,0.000631
(ii) Δc = +0.03,global (run-level prediction),39,1.148849,-0.004208,0.000000,-0.004208,0.3301,-0.011925,0.002812,nan,nan
(ii) Δc = +0.03,global (period-level prediction),39,1.148849,-0.004208,0.018938,-0.023146,0.0001,-0.028868,-0.017500,nan,nan
(ii) Δc = +0.03,W60,40,0.718099,-0.002318,0.005894,-0.008212,0.0035,-0.012259,-0.003705,0.021846,-0.000600
(ii) Δc = +0.03,global (run-level prediction),40,1.155507,-0.011477,0.000000,-0.011477,0.0807,-0.022746,-0.000021,nan,nan
(ii) Δc = +0.03,global (period-level prediction),40,1.155507,-0.011477,0.015997,-0.027474,0.0001,-0.033194,-0.022039,nan,nan
(ii) Δc = +0.03,W60,41,0.716283,-0.003638,0.005686,-0.009324,0.0037,-0.013142,-0.003910,0.021618,-0.000704
(ii) Δc = +0.03,global (run-level prediction),41,1.148574,-0.010086,0.000000,-0.010086,0.0905,-0.020785,0.000395,nan,nan
(ii) Δc = +0.03,global (period-level prediction),41,1.148574,-0.010086,0.018456,-0.028543,0.0002,-0.035623,-0.021501,nan,nan
(ii) Δc = +0.03,W60,42,0.717021,0.002745,0.012958,-0.010213,0.0005,-0.013517,-0.006867,0.021577,-0.001873
(ii) Δc = +0.03,global (run-level prediction),42,1.154920,-0.010281,0.000000,-0.010281,0.0103,-0.017529,-0.004218,nan,nan
(ii) Δc = +0.03,global (period-level prediction),42,1.154920,-0.010281,0.019514,-0.029794,0.0001,-0.036400,-0.022569,nan,nan
(ii) Δc = +0.03,W60,43,0.713944,-0.001349,0.008916,-0.010265,0.0004,-0.013366,-0.006950,0.021702,-0.001583
(ii) Δc = +0.03,global (run-level prediction),43,1.150898,-0.014867,0.000000,-0.014867,0.0067,-0.022650,-0.006025,nan,nan
(ii) Δc = +0.03,global (period-level prediction),43,1.150898,-0.014867,0.015229,-0.030097,0.0001,-0.036514,-0.023919,nan,nan
(ii) Δc = +0.03,W60,44,0.715700,-0.000809,0.011819,-0.012628,0.0002,-0.015876,-0.009021,0.020780,-0.000748
(ii) Δc = +0.03,global (run-level prediction),44,1.156275,-0.011032,0.000000,-0.011032,0.0536,-0.021054,-0.002086,nan,nan
(ii) Δc = +0.03,global (period-level prediction),44,1.156275,-0.011032,0.020856,-0.031889,0.0001,-0.037663,-0.026292,nan,nan
(ii) Δc = +0.03,W60,45,0.715309,-0.000568,0.008624,-0.009192,0.0015,-0.013123,-0.004775,0.021739,-0.000625
(ii) Δc = +0.03,global (run-level prediction),45,1.152229,-0.006778,-0.000000,-0.006778,0.2468,-0.016948,0.005274,nan,nan
(ii) Δc = +0.03,global (period-level prediction),45,1.152229,-0.006778,0.021604,-0.028382,0.0001,-0.031528,-0.025263,nan,nan
(ii) Δc = +0.03,W60,46,0.713933,0.000809,0.012015,-0.011206,0.0001,-0.014352,-0.008388,0.023156,-0.001580
(ii) Δc = +0.03,global (run-level prediction),46,1.151939,-0.006022,-0.000000,-0.006022,0.2379,-0.015787,0.003785,nan,nan
(ii) Δc = +0.03,global (period-level prediction),46,1.151939,-0.006022,0.019818,-0.025839,0.0001,-0.031638,-0.020206,nan,nan
(ii) Δc = +0.03,W60,47,0.714603,0.000422,0.014243,-0.013821,0.0001,-0.017039,-0.010640,0.022864,0.000328
(ii) Δc = +0.03,global (run-level prediction),47,1.149323,-0.007809,-0.000000,-0.007809,0.1587,-0.019494,0.001064,nan,nan
(ii) Δc = +0.03,global (period-level prediction),47,1.149323,-0.007809,0.024447,-0.032256,0.0001,-0.040596,-0.024400,nan,nan
(ii) Δc = +0.03,W60,48,0.716974,0.001029,0.010996,-0.009967,0.0004,-0.013416,-0.006678,0.023320,-0.000980
(ii) Δc = +0.03,global (run-level prediction),48,1.151746,-0.009444,-0.000000,-0.009444,0.0851,-0.018801,0.000785,nan,nan
(ii) Δc = +0.03,global (period-level prediction),48,1.151746,-0.009444,0.021718,-0.031162,0.0001,-0.037294,-0.025059,nan,nan
(ii) Δc = +0.03,W60,49,0.715900,0.002325,0.014425,-0.012100,0.0002,-0.016463,-0.008432,0.021017,-0.001243
