# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_demean estimator=win60 regions=115 excluded_regions=20 pre=windows1-4 post=windows6-14 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
92,RH_Default_Temp_3,7,0.030773,0.077231,0.16687012,0,9,0.021952,-0.008821,0.159269
93,RH_Default_PFCv_1,7,0.035545,0.063530,0.05541992,0,9,0.023115,-0.012429,0.143626
94,RH_Default_PFCv_2,7,0.052673,0.057309,0.00439453,1,13,0.028283,-0.024390,0.149730
95,RH_Default_PFCdPFCm_1,7,0.034012,0.054758,0.03869629,0,11,0.013862,-0.020150,0.144453
96,RH_Default_PFCdPFCm_2,7,0.030506,0.048144,0.03527832,0,11,0.021457,-0.009049,0.141698
97,RH_Default_PFCdPFCm_3,7,0.036188,0.056275,0.02502441,0,11,0.026544,-0.009645,0.139053
98,RH_Default_pCunPCC_1,7,0.037530,0.068781,0.06372070,0,10,0.025245,-0.012285,0.135161
99,RH_Default_pCunPCC_2,7,0.030737,0.040587,0.01245117,1,11,0.023535,-0.007202,0.139560
100,SUB_1,8,0.026213,0.053857,0.09338379,0,8,0.016696,-0.009517,0.137627
101,SUB_2,8,0.006030,0.067836,0.74670410,0,9,0.012354,0.006324,0.140241
102,SUB_3,8,0.016829,0.055504,0.27380371,0,8,-0.001512,-0.018341,0.149763
103,SUB_4,8,0.016851,0.056106,0.27880859,0,10,0.010988,-0.005863,0.151728
104,SUB_5,8,0.021772,0.046512,0.10400391,0,9,-0.001022,-0.022794,0.137068
105,SUB_6,8,0.028493,0.036414,0.01477051,1,11,0.016175,-0.012317,0.128992
106,SUB_7,8,0.040497,0.073295,0.05786133,0,10,0.020686,-0.019812,0.166000
107,SUB_8,8,0.041297,0.064243,0.03283691,0,11,0.020737,-0.020560,0.152776
108,SUB_9,8,0.030449,0.064696,0.10559082,0,10,0.000824,-0.029625,0.163787
109,SUB_10,8,0.012702,0.043248,0.28967285,0,8,0.008074,-0.004628,0.147518
110,SUB_11,8,0.019230,0.067097,0.29553223,0,10,0.000628,-0.018603,0.149491
111,SUB_12,8,0.035993,0.054363,0.02917480,0,12,0.016927,-0.019065,0.145141
112,SUB_13,8,0.040240,0.048719,0.01110840,1,12,0.016234,-0.024007,0.129256
113,SUB_14,8,-0.006334,0.051143,0.64404297,0,6,-0.000054,0.006280,0.149858
114,SUB_15,8,0.037413,0.057372,0.02941895,0,9,0.009457,-0.027956,0.174178
115,SUB_16,8,0.018976,0.048172,0.16577148,0,9,0.010792,-0.008183,0.153419
