# rev_regional_phir.py EXPLORATORY series=raw variant=ts_demean estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
94,RH_Default_PFCv_2,7,0.040104,0.051696,0.00207520,0,12,0.032604,-0.007501,0.033963
95,RH_Default_PFCdPFCm_1,7,0.013080,0.046205,0.33251953,0,8,0.010878,-0.002202,0.046352
96,RH_Default_PFCdPFCm_2,7,0.021198,0.056660,0.20617676,0,8,0.016335,-0.004863,0.047722
97,RH_Default_PFCdPFCm_3,7,0.029890,0.046602,0.02185059,0,11,0.021875,-0.008015,0.039709
98,RH_Default_pCunPCC_1,7,0.010397,0.044988,0.40393066,0,8,0.013666,0.003269,0.043861
99,RH_Default_pCunPCC_2,7,0.016160,0.042027,0.17883301,0,9,0.013130,-0.003030,0.043632
100,SUB_1,8,0.008112,0.041799,0.49633789,0,6,0.008513,0.000401,0.024591
101,SUB_2,8,-0.005838,0.032756,0.51098633,0,5,0.003949,0.009787,0.026134
102,SUB_3,8,-0.004184,0.028646,0.60363770,0,6,-0.009237,-0.005053,0.034604
103,SUB_4,8,0.012790,0.050108,0.35986328,0,9,0.007253,-0.005537,0.034679
104,SUB_5,8,0.001766,0.030737,0.89135742,0,6,0.003373,0.001607,0.022214
105,SUB_6,8,0.009214,0.025801,0.20922852,0,9,0.004197,-0.005017,0.015451
106,SUB_7,8,0.017463,0.046579,0.18469238,0,10,0.009467,-0.007996,0.057118
107,SUB_8,8,0.027425,0.045628,0.04467773,0,10,0.020748,-0.006677,0.033998
108,SUB_9,8,0.004262,0.028169,0.58239746,0,6,0.007064,0.002802,0.025749
109,SUB_10,8,0.005621,0.024665,0.41076660,0,9,0.014277,0.008656,0.021089
110,SUB_11,8,-0.002177,0.025128,0.76000977,0,7,-0.002934,-0.000757,0.034323
111,SUB_12,8,0.021669,0.053040,0.16491699,0,8,0.018449,-0.003220,0.025163
112,SUB_13,8,-0.000324,0.022706,0.95922852,0,6,0.002816,0.003139,0.025751
113,SUB_14,8,0.002708,0.021975,0.65270996,0,10,0.006145,0.003437,0.015629
114,SUB_15,8,0.022514,0.045148,0.08605957,0,10,0.009780,-0.012734,0.059047
115,SUB_16,8,0.016705,0.042279,0.16906738,0,8,0.011948,-0.004757,0.040519
