# rev_regional_phir.py EXPLORATORY series=deconv variant=ts_demean estimator=global regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120
orig_index,name,yeo_network,did_mean,did_sd,p_signflip,bh_significant,n_pos_of_14,dmt_change,pcb_change,pre_level_dmt
87,RH_Cont_PFCmp_1,6,0.040107,0.071137,0.05749512,0,11,0.025454,-0.014653,0.050170
88,RH_Cont_pCun_1,6,0.016269,0.046605,0.21203613,0,10,0.017723,0.001455,0.055129
89,RH_Default_Par_1,7,0.016143,0.036975,0.12829590,0,8,0.003642,-0.012500,0.051640
90,RH_Default_Temp_1,7,0.015443,0.053028,0.31298828,0,6,0.008839,-0.006604,0.035754
91,RH_Default_Temp_2,7,0.002115,0.045525,0.85375977,0,8,0.012587,0.010472,0.043422
92,RH_Default_Temp_3,7,0.012160,0.048980,0.36730957,0,9,0.013126,0.000965,0.050441
93,RH_Default_PFCv_1,7,0.022060,0.044456,0.08459473,0,9,0.016823,-0.005237,0.036948
94,RH_Default_PFCv_2,7,0.047469,0.051830,0.00048828,0,12,0.034202,-0.013267,0.035013
95,RH_Default_PFCdPFCm_1,7,0.009441,0.055976,0.55273438,0,8,0.003035,-0.006406,0.053385
96,RH_Default_PFCdPFCm_2,7,0.024320,0.061085,0.18542480,0,8,0.011339,-0.012982,0.050023
97,RH_Default_PFCdPFCm_3,7,0.026581,0.053534,0.09362793,0,11,0.019756,-0.006825,0.041450
98,RH_Default_pCunPCC_1,7,0.018553,0.055076,0.23681641,0,9,0.019219,0.000666,0.040436
99,RH_Default_pCunPCC_2,7,0.011774,0.050708,0.41906738,0,8,0.009320,-0.002453,0.048924
100,SUB_1,8,0.009797,0.054566,0.51098633,0,7,0.010587,0.000790,0.028569
101,SUB_2,8,-0.002529,0.045706,0.83544922,0,6,0.006809,0.009337,0.030039
102,SUB_3,8,-0.001115,0.034273,0.90405273,0,7,-0.009526,-0.008410,0.038221
103,SUB_4,8,0.012734,0.057359,0.41552734,0,10,0.004624,-0.008110,0.038126
104,SUB_5,8,0.005781,0.037835,0.65698242,0,9,0.000439,-0.005342,0.025613
105,SUB_6,8,0.012791,0.034528,0.19628906,0,10,0.002630,-0.010161,0.023223
106,SUB_7,8,0.018707,0.055581,0.23022461,0,10,0.008036,-0.010671,0.064295
107,SUB_8,8,0.027268,0.048394,0.05822754,0,10,0.014683,-0.012585,0.042032
108,SUB_9,8,0.007106,0.036628,0.47680664,0,7,0.004910,-0.002196,0.032687
109,SUB_10,8,0.013922,0.036015,0.17089844,0,10,0.021735,0.007813,0.018832
110,SUB_11,8,0.004245,0.046508,0.73437500,0,8,-0.000618,-0.004863,0.036396
111,SUB_12,8,0.027820,0.064148,0.12854004,0,10,0.020706,-0.007114,0.026370
112,SUB_13,8,0.004820,0.035289,0.62329102,0,8,0.001409,-0.003411,0.029606
113,SUB_14,8,0.005204,0.035960,0.59094238,0,9,0.006077,0.000874,0.020596
114,SUB_15,8,0.028173,0.052631,0.06958008,0,10,0.009256,-0.018917,0.065366
115,SUB_16,8,0.016469,0.049528,0.23937988,0,6,0.009055,-0.007414,0.046947
