# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=f3b435d n_runs=2000 n_boot=2000 m_decide=1338/742 threshold=0.8
condition,window,window_index,atom,bins_covered,f_first_bin,analytic,est_mean,bias,bias_ci_lo,bias_ci_hi,est_sd
nonstat_step_ar,30,27,rtr,27-27,1.000000,0.014496,0.058613,0.044117,0.040178,0.048056,0.089875
nonstat_step_ar,30,28,rtr,28-28,1.000000,0.014496,0.057736,0.043240,0.039405,0.047076,0.087515
nonstat_step_ar,60,1,sts,1-2,0.000000,1.384438,0.814285,-0.570153,-0.582811,-0.557495,0.288818
nonstat_step_ar,60,2,sts,3-4,0.000000,1.384438,0.804395,-0.580043,-0.592548,-0.567538,0.285325
nonstat_step_ar,60,3,sts,5-6,0.000000,1.384438,0.808075,-0.576363,-0.589257,-0.563469,0.294203
nonstat_step_ar,60,4,sts,7-8,0.000000,1.384438,0.807023,-0.577415,-0.589997,-0.564833,0.287089
nonstat_step_ar,60,5,sts,9-10,1.000000,1.328420,0.786925,-0.541495,-0.553615,-0.529375,0.276538
nonstat_step_ar,60,6,sts,11-12,1.000000,1.328420,0.773530,-0.554890,-0.567114,-0.542666,0.278918
nonstat_step_ar,60,7,sts,13-14,1.000000,1.328420,0.776592,-0.551828,-0.563969,-0.539688,0.277003
nonstat_step_ar,60,8,sts,15-16,1.000000,1.328420,0.778685,-0.549735,-0.561912,-0.537558,0.277842
nonstat_step_ar,60,9,sts,17-18,1.000000,1.328420,0.771557,-0.556863,-0.569025,-0.544701,0.277506
nonstat_step_ar,60,10,sts,19-20,1.000000,1.328420,0.772326,-0.556094,-0.568043,-0.544145,0.272640
nonstat_step_ar,60,11,sts,21-22,1.000000,1.328420,0.772904,-0.555516,-0.567919,-0.543113,0.283003
nonstat_step_ar,60,12,sts,23-24,1.000000,1.328420,0.783013,-0.545408,-0.557514,-0.533301,0.276232
nonstat_step_ar,60,13,sts,25-26,1.000000,1.328420,0.785310,-0.543110,-0.555164,-0.531055,0.275045
nonstat_step_ar,60,14,sts,27-28,1.000000,1.328420,0.773094,-0.555326,-0.567805,-0.542847,0.284733
nonstat_step_ar,60,1,rtr,1-2,0.000000,0.016268,0.045524,0.029257,0.026243,0.032270,0.068752
nonstat_step_ar,60,2,rtr,3-4,0.000000,0.016268,0.045966,0.029698,0.026678,0.032718,0.068905
nonstat_step_ar,60,3,rtr,5-6,0.000000,0.016268,0.047282,0.031014,0.027917,0.034112,0.070676
nonstat_step_ar,60,4,rtr,7-8,0.000000,0.016268,0.047071,0.030803,0.027796,0.033810,0.068613
nonstat_step_ar,60,5,rtr,9-10,1.000000,0.014496,0.044572,0.030076,0.027141,0.033011,0.066960
nonstat_step_ar,60,6,rtr,11-12,1.000000,0.014496,0.043547,0.029051,0.026217,0.031885,0.064657
nonstat_step_ar,60,7,rtr,13-14,1.000000,0.014496,0.043651,0.029156,0.026361,0.031951,0.063774
