# script=01_synergy_timecourse.py variant=ts_gsr regions=20 atom=sts tau=1 redundancy=MMI fit_mode=global seed=20261120 git=nogit
subject,condition,bin,synergy_mean
5,PCB,8,1.238811
5,PCB,9,1.509923
5,PCB,10,1.273362
5,PCB,11,1.399752
5,PCB,12,0.843435
5,PCB,13,1.206869
5,PCB,14,1.264356
5,PCB,15,1.433998
5,PCB,16,1.270625
5,PCB,17,1.439214
5,PCB,18,1.436061
5,PCB,19,1.233293
5,PCB,20,1.467107
5,PCB,21,1.490221
5,PCB,22,1.479159
5,PCB,23,1.324791
5,PCB,24,1.349090
5,PCB,25,1.332665
5,PCB,26,1.241646
5,PCB,27,1.313288
6,DMT,0,1.417293
6,DMT,1,1.264114
6,DMT,2,1.520007
6,DMT,3,1.508544
6,DMT,4,1.455548
6,DMT,5,1.563113
6,DMT,6,0.968579
6,DMT,7,1.601355
6,DMT,8,1.451194
6,DMT,9,1.409857
6,DMT,10,1.184668
6,DMT,11,1.143106
6,DMT,12,1.158987
6,DMT,13,1.222206
6,DMT,14,1.243559
6,DMT,15,1.159272
6,DMT,16,1.303276
6,DMT,17,1.277839
6,DMT,18,1.099570
6,DMT,19,1.453393
6,DMT,20,1.369224
6,DMT,21,1.363497
6,DMT,22,1.196074
6,DMT,23,1.143305
6,DMT,24,1.041466
6,DMT,25,1.332543
6,DMT,26,1.124379
6,DMT,27,1.300572
6,PCB,0,1.328445
6,PCB,1,1.108505
6,PCB,2,1.334718
6,PCB,3,1.363550
6,PCB,4,1.374832
6,PCB,5,1.157449
6,PCB,6,1.087359
6,PCB,7,1.245925
6,PCB,8,1.322354
6,PCB,9,1.130991
6,PCB,10,1.270597
6,PCB,11,1.065815
6,PCB,12,1.376681
6,PCB,13,1.199875
6,PCB,14,1.424532
6,PCB,15,1.195215
6,PCB,16,1.151958
6,PCB,17,1.236194
6,PCB,18,1.574563
6,PCB,19,1.383416
6,PCB,20,1.207003
6,PCB,21,1.316790
6,PCB,22,1.087836
6,PCB,23,0.983121
6,PCB,24,1.483675
6,PCB,25,1.177545
6,PCB,26,1.198306
6,PCB,27,1.274943
7,DMT,0,1.382090
7,DMT,1,1.300213
7,DMT,2,1.347184
7,DMT,3,1.265854
7,DMT,4,1.247543
7,DMT,5,0.880395
7,DMT,6,1.441471
7,DMT,7,1.905641
7,DMT,8,0.939255
7,DMT,9,1.242739
7,DMT,10,1.234884
7,DMT,11,1.252715
7,DMT,12,1.275579
7,DMT,13,1.295734
7,DMT,14,1.058035
7,DMT,15,1.178499
7,DMT,16,1.112837
7,DMT,17,1.274704
7,DMT,18,0.950062
7,DMT,19,1.361004
7,DMT,20,1.359525
7,DMT,21,1.323675
7,DMT,22,1.277540
7,DMT,23,1.283513
7,DMT,24,1.577787
7,DMT,25,1.274211
7,DMT,26,1.353316
7,DMT,27,1.210090
7,PCB,0,1.328424
7,PCB,1,1.412749
7,PCB,2,1.418669
7,PCB,3,1.223730
7,PCB,4,1.445162
7,PCB,5,1.283372
7,PCB,6,1.509866
7,PCB,7,1.510986
7,PCB,8,1.313144
7,PCB,9,1.267162
7,PCB,10,1.512465
7,PCB,11,1.590171
7,PCB,12,1.518069
7,PCB,13,1.516663
7,PCB,14,1.302008
7,PCB,15,1.548077
7,PCB,16,1.515198
7,PCB,17,1.715389
7,PCB,18,1.622617
7,PCB,19,1.445569
7,PCB,20,1.405440
7,PCB,21,1.626832
7,PCB,22,1.557829
7,PCB,23,1.670355
7,PCB,24,1.453116
7,PCB,25,1.362842
7,PCB,26,1.470133
7,PCB,27,1.557836
8,DMT,0,1.345325
8,DMT,1,1.258610
8,DMT,2,1.561883
8,DMT,3,1.405714
8,DMT,4,1.312184
8,DMT,5,1.380670
8,DMT,6,1.593351
8,DMT,7,1.241297
8,DMT,8,1.013850
8,DMT,9,1.287507
8,DMT,10,1.205825
8,DMT,11,1.257159
8,DMT,12,1.137025
8,DMT,13,1.215820
8,DMT,14,1.339543
8,DMT,15,1.371299
8,DMT,16,1.365249
8,DMT,17,1.288935
8,DMT,18,1.355154
8,DMT,19,1.162965
8,DMT,20,1.244740
8,DMT,21,1.299804
8,DMT,22,1.173033
8,DMT,23,1.298541
8,DMT,24,1.271969
8,DMT,25,1.064348
8,DMT,26,1.163326
8,DMT,27,1.520072
8,PCB,0,1.553139
8,PCB,1,1.198705
8,PCB,2,1.305233
8,PCB,3,1.435509
8,PCB,4,1.276694
8,PCB,5,1.179285
8,PCB,6,1.592618
8,PCB,7,1.158741
8,PCB,8,1.312846
8,PCB,9,1.406594
8,PCB,10,1.414754
8,PCB,11,1.313818
8,PCB,12,1.332199
8,PCB,13,1.318590
8,PCB,14,1.288646
8,PCB,15,1.451282
8,PCB,16,1.488611
8,PCB,17,1.535911
8,PCB,18,1.511775
8,PCB,19,1.501262
8,PCB,20,0.897142
8,PCB,21,1.343425
8,PCB,22,1.300577
8,PCB,23,1.333270
8,PCB,24,1.546613
8,PCB,25,1.414246
8,PCB,26,1.361655
8,PCB,27,1.540438
9,DMT,0,1.342428
9,DMT,1,1.364456
9,DMT,2,1.318896
9,DMT,3,1.830774
9,DMT,4,1.160820
9,DMT,5,1.357952
9,DMT,6,1.977404
9,DMT,7,1.614663
9,DMT,8,1.407525
9,DMT,9,1.264360
9,DMT,10,1.254818
9,DMT,11,1.225229
9,DMT,12,1.217741
9,DMT,13,1.344786
9,DMT,14,1.206781
9,DMT,15,0.961484
9,DMT,16,1.149575
9,DMT,17,1.237710
9,DMT,18,1.297009
9,DMT,19,1.275470
9,DMT,20,1.251161
9,DMT,21,1.353979
9,DMT,22,1.379001
9,DMT,23,1.300023
9,DMT,24,1.301828
9,DMT,25,1.496829
9,DMT,26,1.679104
9,DMT,27,1.354930
9,PCB,0,1.285718
9,PCB,1,1.169428
9,PCB,2,1.117749
9,PCB,3,1.324455
9,PCB,4,1.624400
9,PCB,5,1.275619
9,PCB,6,1.187513
9,PCB,7,1.292714
9,PCB,8,1.159988
9,PCB,9,1.308738
9,PCB,10,1.399715
9,PCB,11,1.337342
9,PCB,12,1.356366
9,PCB,13,1.274550
9,PCB,14,1.360173
9,PCB,15,1.445590
9,PCB,16,1.328079
9,PCB,17,1.321774
9,PCB,18,1.242605
9,PCB,19,1.169079
9,PCB,20,1.293711
9,PCB,21,1.380868
9,PCB,22,1.500752
9,PCB,23,1.448814
9,PCB,24,1.462237
9,PCB,25,1.368657
9,PCB,26,1.248011
9,PCB,27,1.486588
10,DMT,0,1.354679
10,DMT,1,1.407922
10,DMT,2,1.295530
10,DMT,3,1.318798
10,DMT,4,1.288123
10,DMT,5,1.099590
10,DMT,6,1.098216
10,DMT,7,0.697211
10,DMT,8,1.255640
