# 09_global_fc_per_bin.py variant=ts_demean regions=115 pairs=6555 excluded_regions=20 bin_trs=30 git=66b570e-dirty
subject,condition,bin,mean_r,n_tr
6,PCB,12,0.032233,30
6,PCB,13,0.055017,30
6,PCB,14,0.171663,30
6,PCB,15,0.177594,30
6,PCB,16,0.157829,30
6,PCB,17,0.102672,30
6,PCB,18,0.168947,30
6,PCB,19,0.102164,30
6,PCB,20,0.140957,30
6,PCB,21,0.144314,30
6,PCB,22,0.172625,30
6,PCB,23,0.097237,30
6,PCB,24,0.074989,30
6,PCB,25,0.176330,30
6,PCB,26,0.315294,30
6,PCB,27,0.150276,30
6,PCB,28,0.180390,30
7,DMT,1,0.204428,30
7,DMT,2,0.139085,30
7,DMT,3,0.227764,30
7,DMT,4,0.161009,30
7,DMT,5,0.180111,30
7,DMT,6,0.264941,30
7,DMT,7,0.151412,30
7,DMT,8,0.136486,30
7,DMT,9,0.333894,30
7,DMT,10,0.320619,30
7,DMT,11,0.129109,30
7,DMT,12,0.353873,30
7,DMT,13,0.150877,30
7,DMT,14,0.107177,30
7,DMT,15,0.310442,30
7,DMT,16,0.171768,30
7,DMT,17,0.275602,30
7,DMT,18,0.432307,30
7,DMT,19,0.199960,30
7,DMT,20,0.173876,30
7,DMT,21,0.209074,30
7,DMT,22,0.197628,30
7,DMT,23,0.250294,30
7,DMT,24,0.098201,30
7,DMT,25,0.204769,30
7,DMT,26,0.091104,30
7,DMT,27,0.143447,30
7,DMT,28,0.108827,30
7,PCB,1,0.161451,30
7,PCB,2,0.284348,30
7,PCB,3,0.132629,30
7,PCB,4,0.157062,30
7,PCB,5,0.117478,30
7,PCB,6,0.141033,30
7,PCB,7,0.087246,30
7,PCB,8,0.390975,30
7,PCB,9,0.141897,30
7,PCB,10,0.131212,30
7,PCB,11,0.199039,30
7,PCB,12,0.187099,30
7,PCB,13,0.291021,30
7,PCB,14,0.317002,30
7,PCB,15,0.144498,30
7,PCB,16,0.117485,30
7,PCB,17,0.168843,30
7,PCB,18,0.059295,30
7,PCB,19,0.220989,30
7,PCB,20,0.221298,30
7,PCB,21,0.278522,30
7,PCB,22,0.201439,30
7,PCB,23,0.146996,30
7,PCB,24,0.193296,30
7,PCB,25,0.200233,30
7,PCB,26,0.089029,30
7,PCB,27,0.316894,30
7,PCB,28,0.171697,30
8,DMT,1,0.439921,30
8,DMT,2,0.317778,30
8,DMT,3,0.189041,30
8,DMT,4,0.410983,30
8,DMT,5,0.398111,30
8,DMT,6,0.402382,30
8,DMT,7,0.117652,30
8,DMT,8,0.180603,30
8,DMT,9,0.445371,30
8,DMT,10,0.445196,30
8,DMT,11,0.673017,30
8,DMT,12,0.503920,30
8,DMT,13,0.320083,30
8,DMT,14,0.411222,30
8,DMT,15,0.437966,30
8,DMT,16,0.498363,30
8,DMT,17,0.419846,30
8,DMT,18,0.526565,30
8,DMT,19,0.388719,30
8,DMT,20,0.584392,30
8,DMT,21,0.601244,30
8,DMT,22,0.607802,30
8,DMT,23,0.547174,30
8,DMT,24,0.450180,30
8,DMT,25,0.657609,30
8,DMT,26,0.613836,30
8,DMT,27,0.638359,30
8,DMT,28,0.328565,30
8,PCB,1,0.196217,30
8,PCB,2,0.224942,30
8,PCB,3,0.148221,30
8,PCB,4,0.328596,30
8,PCB,5,0.313697,30
8,PCB,6,0.183396,30
8,PCB,7,0.239542,30
8,PCB,8,0.365717,30
8,PCB,9,0.699218,30
8,PCB,10,0.265623,30
8,PCB,11,0.263702,30
8,PCB,12,0.348297,30
8,PCB,13,0.246778,30
8,PCB,14,0.258503,30
8,PCB,15,0.430880,30
8,PCB,16,0.202671,30
8,PCB,17,0.434681,30
8,PCB,18,0.326740,30
8,PCB,19,0.366168,30
8,PCB,20,0.354234,30
8,PCB,21,0.202665,30
8,PCB,22,0.335682,30
8,PCB,23,0.195217,30
8,PCB,24,0.199977,30
8,PCB,25,0.207853,30
8,PCB,26,0.145733,30
8,PCB,27,0.248605,30
8,PCB,28,0.069022,30
9,DMT,1,0.306378,30
9,DMT,2,0.179853,30
9,DMT,3,0.263018,30
9,DMT,4,0.085789,30
9,DMT,5,0.274367,30
9,DMT,6,0.264237,30
9,DMT,7,0.200620,30
9,DMT,8,0.272092,30
9,DMT,9,0.305959,30
9,DMT,10,0.342332,30
9,DMT,11,0.192842,30
9,DMT,12,0.297329,30
9,DMT,13,0.113681,30
9,DMT,14,0.238526,30
9,DMT,15,0.226561,30
9,DMT,16,0.145043,30
9,DMT,17,0.149940,30
9,DMT,18,0.338176,30
9,DMT,19,0.314886,30
9,DMT,20,0.166062,30
9,DMT,21,0.222011,30
9,DMT,22,0.422604,30
9,DMT,23,0.247859,30
9,DMT,24,0.259216,30
9,DMT,25,0.405174,30
9,DMT,26,0.272462,30
9,DMT,27,0.227960,30
9,DMT,28,0.444153,30
9,PCB,1,0.183311,30
9,PCB,2,0.438565,30
9,PCB,3,0.325633,30
9,PCB,4,0.159033,30
9,PCB,5,0.141835,30
9,PCB,6,0.330091,30
9,PCB,7,0.125149,30
9,PCB,8,0.351585,30
9,PCB,9,0.427517,30
9,PCB,10,0.216747,30
9,PCB,11,0.221107,30
9,PCB,12,0.262116,30
9,PCB,13,0.286588,30
9,PCB,14,0.384700,30
9,PCB,15,0.435626,30
9,PCB,16,0.371896,30
9,PCB,17,0.257789,30
9,PCB,18,0.282347,30
9,PCB,19,0.200485,30
9,PCB,20,0.252342,30
9,PCB,21,0.212383,30
9,PCB,22,0.249110,30
9,PCB,23,0.263908,30
9,PCB,24,0.205734,30
9,PCB,25,0.205290,30
9,PCB,26,0.262873,30
9,PCB,27,0.266236,30
9,PCB,28,0.317707,30
10,DMT,1,0.177316,30
10,DMT,2,0.121695,30
10,DMT,3,0.036193,30
10,DMT,4,0.133356,30
10,DMT,5,0.065003,30
10,DMT,6,0.076725,30
10,DMT,7,0.053844,30
10,DMT,8,0.123477,30
10,DMT,9,0.271783,30
10,DMT,10,0.077264,30
10,DMT,11,0.146056,30
10,DMT,12,0.128050,30
10,DMT,13,0.123447,30
10,DMT,14,0.140675,30
10,DMT,15,0.077219,30
10,DMT,16,0.050485,30
10,DMT,17,0.150638,30
10,DMT,18,0.098374,30
10,DMT,19,0.153391,30
10,DMT,20,0.104170,30
10,DMT,21,0.242243,30
10,DMT,22,0.142867,30
10,DMT,23,0.079943,30
10,DMT,24,0.049583,30
10,DMT,25,0.126186,30
10,DMT,26,0.089487,30
10,DMT,27,0.033875,30
10,DMT,28,0.271752,30
10,PCB,1,0.183072,30
10,PCB,2,0.176908,30
10,PCB,3,0.078691,30
10,PCB,4,0.145012,30
10,PCB,5,0.039878,30
10,PCB,6,0.071318,30
10,PCB,7,0.082118,30
10,PCB,8,0.222137,30
10,PCB,9,0.056051,30
10,PCB,10,0.027323,30
10,PCB,11,0.044031,30
10,PCB,12,0.041638,30
10,PCB,13,0.038484,30
10,PCB,14,0.063674,30
10,PCB,15,0.073094,30
10,PCB,16,0.021969,30
10,PCB,17,0.047710,30
10,PCB,18,0.113995,30
10,PCB,19,0.085125,30
10,PCB,20,0.144434,30
10,PCB,21,0.081089,30
10,PCB,22,0.078135,30
10,PCB,23,0.074389,30
10,PCB,24,0.074937,30
10,PCB,25,0.033969,30
10,PCB,26,0.102096,30
10,PCB,27,0.086351,30
10,PCB,28,0.058561,30
11,DMT,1,0.121508,30
11,DMT,2,0.267693,30
11,DMT,3,0.334713,30
11,DMT,4,0.431133,30
11,DMT,5,0.353479,30
11,DMT,6,0.373576,30
11,DMT,7,0.233919,30
11,DMT,8,0.335361,30
11,DMT,9,0.779165,30
11,DMT,10,0.649417,30
11,DMT,11,0.180734,30
11,DMT,12,0.634608,30
11,DMT,13,0.561440,30
11,DMT,14,0.727593,30
11,DMT,15,0.299717,30
11,DMT,16,0.563218,30
11,DMT,17,0.489894,30
11,DMT,18,0.372673,30
11,DMT,19,0.509403,30
11,DMT,20,0.325482,30
11,DMT,21,0.552076,30
11,DMT,22,0.285334,30
11,DMT,23,0.423858,30
11,DMT,24,0.677324,30
11,DMT,25,0.435550,30
11,DMT,26,0.590399,30
11,DMT,27,0.274246,30
11,DMT,28,0.609587,30
11,PCB,1,0.401366,30
11,PCB,2,0.199646,30
11,PCB,3,0.134471,30
11,PCB,4,0.226963,30
11,PCB,5,0.316117,30
11,PCB,6,0.259617,30
11,PCB,7,0.383867,30
11,PCB,8,0.614620,30
11,PCB,9,0.587432,30
11,PCB,10,0.199204,30
11,PCB,11,0.211753,30
11,PCB,12,0.145939,30
11,PCB,13,0.254821,30
11,PCB,14,0.185647,30
11,PCB,15,0.233868,30
11,PCB,16,0.519264,30
11,PCB,17,0.416655,30
11,PCB,18,0.255936,30
11,PCB,19,0.350335,30
11,PCB,20,0.292278,30
11,PCB,21,0.269110,30
11,PCB,22,0.388429,30
11,PCB,23,0.294061,30
11,PCB,24,0.259533,30
11,PCB,25,0.369683,30
11,PCB,26,0.475227,30
11,PCB,27,0.290600,30
11,PCB,28,0.608094,30
12,DMT,1,0.204394,30
12,DMT,2,0.310413,30
12,DMT,3,0.214818,30
12,DMT,4,0.212282,30
12,DMT,5,0.145456,30
12,DMT,6,0.178934,30
12,DMT,7,0.101392,30
12,DMT,8,0.285740,30
12,DMT,9,0.250642,30
12,DMT,10,0.407113,30
12,DMT,11,0.456503,30
12,DMT,12,0.454554,30
12,DMT,13,0.587820,30
12,DMT,14,0.528956,30
12,DMT,15,0.151860,30
12,DMT,16,0.260932,30
12,DMT,17,0.228336,30
12,DMT,18,0.303654,30
