# script=07_windowed_atoms_did.py variant=ts_gsr window_trs=60 n_boot=10000 seed=20261120 windowed_file=atoms_win60_115regions-all_ts_gsr_window.npy global_file=atoms_bins_115regions-all_ts_gsr_global.npy git=f3b435d-dirty
estimator,window_set,atom,pre_dmt,pre_pcb,change_dmt,change_pcb,did_mean,ci_lo,ci_hi,p_signflip,n_negative,did_over_pre_dmt
global,primary,rts,0.643513380390557,0.632664547722629,-0.023908107926961346,0.015650868913068137,-0.03955897684002948,-0.06610365068712412,-0.014136696392905736,0.009033203125,12,-0.06147343325793878
global,sensitivity,sts,1.3085170237102626,1.2893436040581727,-0.051514145475074,0.022017073486004506,-0.0735312189610785,-0.12419289993371313,-0.025136367768637015,0.01123046875,12,-0.056194315877207954
global,sensitivity,rtr,0.02479752865060974,0.022520212233807933,-0.006326684547870057,-0.0003399295555926458,-0.005986754992277411,-0.012698356216551807,0.0011932313049551214,0.1285400390625,10,-0.24142546931305608
global,sensitivity,total,1.4421155390020064,1.4046388144065538,-0.08531730276445071,0.028509339363868142,-0.11382664212831885,-0.18351034256559517,-0.044122676652612956,0.0079345703125,11,-0.07893032080293012
global,sensitivity,xtx,0.6896767476167839,0.672091375869746,-0.032323086363809025,0.01798464220559279,-0.05030772856940181,-0.08413837199806096,-0.01693192082813701,0.0120849609375,12,-0.07294392444466621
global,sensitivity,yty,0.6719075441730213,0.6622927848352906,-0.028611881847737202,0.010698747127139243,-0.03931062897487645,-0.07258572354622904,-0.009624814358570627,0.02099609375,13,-0.058506009220747286
global,sensitivity,rts,0.643513380390557,0.632664547722629,-0.02365383742089966,0.012579407565049439,-0.0362332449859491,-0.062083630285683776,-0.011116475450007834,0.0130615234375,12,-0.05630534824926041
global,peak(bins 9-14),sts,1.3085170237102626,1.2893436040581727,-0.08080754074787962,-0.005613297553547812,-0.0751942431943318,-0.11076866866853032,-0.03360967837989892,0.00439453125,13,-0.05746523876404808
global,peak(bins 9-14),rtr,0.02479752865060974,0.022520212233807933,-0.009578411163126577,-0.0004465607555675439,-0.009131850407559034,-0.015179768573109244,-0.0027377403501109275,0.020263671875,10,-0.36825647169216974
global,peak(bins 9-14),total,1.4421155390020064,1.4046388144065538,-0.12568047748057495,-0.008168903499980229,-0.11751157398059474,-0.17010154618465456,-0.060323788397207805,0.0018310546875,13,-0.08148554731052741
global,peak(bins 9-14),xtx,0.6896767476167839,0.672091375869746,-0.04836848339937789,-0.0024017985880364317,-0.04596668481134146,-0.07584115578694661,-0.016612730403593894,0.0128173828125,12,-0.06664960790715634
global,peak(bins 9-14),yty,0.6719075441730213,0.6622927848352906,-0.04307942775529737,-0.00574085691113669,-0.03733857084416068,-0.06303970455089257,-0.012132720409963011,0.0155029296875,13,-0.05557099509891157
global,peak(bins 9-14),rts,0.643513380390557,0.632664547722629,-0.03766733971369283,-0.0023328556145556906,-0.035334484099137135,-0.054743422092298925,-0.013370397838316643,0.0081787109375,12,-0.054908701475161484
