# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=18ad8b4 n_runs=20000 n_boot=2000 m_decide=1338/742 threshold=0.8
condition,window,window_index,atom,bins_covered,f_first_bin,analytic,est_mean,bias,bias_ci_lo,bias_ci_hi,est_sd
nonstat_step_noisecorr,30,3,sts,3-3,0.000000,0.094214,0.059150,-0.035064,-0.036089,-0.034039,0.073991
nonstat_step_noisecorr,30,4,sts,4-4,0.000000,0.094214,0.058474,-0.035740,-0.036767,-0.034713,0.074122
nonstat_step_noisecorr,30,5,sts,5-5,0.000000,0.094214,0.057795,-0.036419,-0.037443,-0.035395,0.073898
nonstat_step_noisecorr,30,6,sts,6-6,0.000000,0.094214,0.059170,-0.035045,-0.036074,-0.034015,0.074309
nonstat_step_noisecorr,30,7,sts,7-7,0.000000,0.094214,0.059044,-0.035170,-0.036200,-0.034140,0.074305
nonstat_step_noisecorr,30,8,sts,8-8,0.000000,0.094214,0.059731,-0.034483,-0.035540,-0.033425,0.076295
nonstat_step_noisecorr,30,9,sts,9-9,1.000000,0.039612,0.044187,0.004575,0.003840,0.005309,0.053002
nonstat_step_noisecorr,30,10,sts,10-10,1.000000,0.039612,0.043371,0.003759,0.003032,0.004486,0.052428
nonstat_step_noisecorr,30,11,sts,11-11,1.000000,0.039612,0.044441,0.004829,0.004089,0.005569,0.053394
nonstat_step_noisecorr,30,12,sts,12-12,1.000000,0.039612,0.044012,0.004400,0.003663,0.005136,0.053125
nonstat_step_noisecorr,30,13,sts,13-13,1.000000,0.039612,0.043896,0.004284,0.003554,0.005014,0.052673
nonstat_step_noisecorr,30,14,sts,14-14,1.000000,0.039612,0.043894,0.004282,0.003549,0.005015,0.052863
nonstat_step_noisecorr,30,15,sts,15-15,1.000000,0.039612,0.043285,0.003673,0.002944,0.004402,0.052609
nonstat_step_noisecorr,30,16,sts,16-16,1.000000,0.039612,0.043742,0.004130,0.003406,0.004854,0.052220
nonstat_step_noisecorr,30,17,sts,17-17,1.000000,0.039612,0.043165,0.003553,0.002835,0.004271,0.051808
nonstat_step_noisecorr,30,18,sts,18-18,1.000000,0.039612,0.043104,0.003492,0.002775,0.004208,0.051697
nonstat_step_noisecorr,30,19,sts,19-19,1.000000,0.039612,0.043370,0.003758,0.003027,0.004489,0.052735
nonstat_step_noisecorr,30,20,sts,20-20,1.000000,0.039612,0.043084,0.003472,0.002746,0.004198,0.052366
nonstat_step_noisecorr,30,21,sts,21-21,1.000000,0.039612,0.043023,0.003411,0.002702,0.004120,0.051184
nonstat_step_noisecorr,30,22,sts,22-22,1.000000,0.039612,0.043445,0.003832,0.003107,0.004558,0.052356
nonstat_step_noisecorr,30,23,sts,23-23,1.000000,0.039612,0.044336,0.004724,0.003990,0.005457,0.052950
nonstat_step_noisecorr,30,24,sts,24-24,1.000000,0.039612,0.043371,0.003759,0.003039,0.004480,0.051977
nonstat_step_noisecorr,30,25,sts,25-25,1.000000,0.039612,0.043235,0.003623,0.002899,0.004347,0.052244
nonstat_step_noisecorr,30,26,sts,26-26,1.000000,0.039612,0.043332,0.003720,0.002991,0.004449,0.052585
nonstat_step_noisecorr,30,27,sts,27-27,1.000000,0.039612,0.043331,0.003719,0.003000,0.004438,0.051854
nonstat_step_noisecorr,30,28,sts,28-28,1.000000,0.039612,0.042993,0.003381,0.002656,0.004106,0.052329
nonstat_step_noisecorr,30,1,rtr,1-1,0.000000,0.013658,0.020803,0.007145,0.006700,0.007591,0.032148
nonstat_step_noisecorr,30,2,rtr,2-2,0.000000,0.013658,0.020620,0.006962,0.006524,0.007401,0.031656
nonstat_step_noisecorr,30,3,rtr,3-3,0.000000,0.013658,0.020666,0.007008,0.006565,0.007451,0.031951
nonstat_step_noisecorr,30,4,rtr,4-4,0.000000,0.013658,0.020738,0.007080,0.006635,0.007525,0.032108
nonstat_step_noisecorr,30,5,rtr,5-5,0.000000,0.013658,0.020405,0.006747,0.006306,0.007189,0.031868
nonstat_step_noisecorr,30,6,rtr,6-6,0.000000,0.013658,0.020400,0.006743,0.006309,0.007176,0.031291
nonstat_step_noisecorr,30,7,rtr,7-7,0.000000,0.013658,0.020526,0.006869,0.006425,0.007312,0.031991
nonstat_step_noisecorr,30,8,rtr,8-8,0.000000,0.013658,0.020919,0.007261,0.006809,0.007714,0.032644
nonstat_step_noisecorr,30,9,rtr,9-9,1.000000,0.046892,0.039624,-0.007269,-0.007969,-0.006568,0.050548
nonstat_step_noisecorr,30,10,rtr,10-10,1.000000,0.046892,0.040250,-0.006643,-0.007339,-0.005947,0.050215
nonstat_step_noisecorr,30,11,rtr,11-11,1.000000,0.046892,0.039614,-0.007278,-0.007979,-0.006578,0.050524
nonstat_step_noisecorr,30,12,rtr,12-12,1.000000,0.046892,0.039775,-0.007117,-0.007812,-0.006422,0.050131
nonstat_step_noisecorr,30,13,rtr,13-13,1.000000,0.046892,0.039558,-0.007335,-0.008024,-0.006645,0.049720
nonstat_step_noisecorr,30,14,rtr,14-14,1.000000,0.046892,0.040240,-0.006653,-0.007356,-0.005950,0.050735
nonstat_step_noisecorr,30,15,rtr,15-15,1.000000,0.046892,0.040254,-0.006638,-0.007336,-0.005941,0.050353
nonstat_step_noisecorr,30,16,rtr,16-16,1.000000,0.046892,0.040492,-0.006400,-0.007112,-0.005689,0.051339
nonstat_step_noisecorr,30,17,rtr,17-17,1.000000,0.046892,0.040460,-0.006432,-0.007137,-0.005727,0.050849
nonstat_step_noisecorr,30,18,rtr,18-18,1.000000,0.046892,0.039397,-0.007496,-0.008183,-0.006808,0.049595
