# script=01_synergy_timecourse.py variant=ts_gsr regions=115 region_selection=all excluded_regions=20 atom=sts tau=1 redundancy=MMI fit_mode=global seed=20261120 git=18ad8b4
subject,condition,bin,synergy_mean
5,DMT,4,1.211512
5,DMT,5,1.327951
5,DMT,6,1.220494
5,DMT,7,1.462548
5,DMT,8,1.601479
5,DMT,9,1.323036
5,DMT,10,1.266685
5,DMT,11,1.201596
5,DMT,12,1.217160
5,DMT,13,1.205812
5,DMT,14,1.291500
5,DMT,15,1.306176
5,DMT,16,1.329605
5,DMT,17,1.277771
5,DMT,18,1.245512
5,DMT,19,1.281534
5,DMT,20,1.312616
5,DMT,21,1.294647
5,DMT,22,1.197579
5,DMT,23,1.098049
5,DMT,24,1.223205
5,DMT,25,1.329261
5,DMT,26,1.315014
5,DMT,27,1.392011
5,PCB,0,1.272871
5,PCB,1,1.215203
5,PCB,2,1.248347
5,PCB,3,1.301658
5,PCB,4,1.271587
5,PCB,5,1.286921
5,PCB,6,1.347004
5,PCB,7,1.299747
5,PCB,8,1.311328
5,PCB,9,1.455652
5,PCB,10,1.397447
5,PCB,11,1.360167
5,PCB,12,0.987304
5,PCB,13,1.210404
5,PCB,14,1.280977
5,PCB,15,1.344381
5,PCB,16,1.264686
5,PCB,17,1.341521
5,PCB,18,1.358732
5,PCB,19,1.256519
5,PCB,20,1.337423
5,PCB,21,1.396271
5,PCB,22,1.347262
5,PCB,23,1.320438
5,PCB,24,1.289308
5,PCB,25,1.337712
5,PCB,26,1.293411
5,PCB,27,1.264553
6,DMT,0,1.498843
6,DMT,1,1.195816
6,DMT,2,1.491300
6,DMT,3,1.381280
6,DMT,4,1.536861
6,DMT,5,1.543747
6,DMT,6,1.111958
6,DMT,7,1.361889
6,DMT,8,1.324066
6,DMT,9,1.306569
6,DMT,10,1.232547
6,DMT,11,1.172901
6,DMT,12,1.216904
6,DMT,13,1.278485
6,DMT,14,1.290942
6,DMT,15,1.214751
6,DMT,16,1.236920
6,DMT,17,1.354353
6,DMT,18,1.243021
6,DMT,19,1.342582
6,DMT,20,1.301828
6,DMT,21,1.255170
6,DMT,22,1.099988
6,DMT,23,1.126570
6,DMT,24,1.113605
6,DMT,25,1.207011
6,DMT,26,1.209403
6,DMT,27,1.394365
6,PCB,0,1.304507
6,PCB,1,1.166890
6,PCB,2,1.277834
6,PCB,3,1.416211
6,PCB,4,1.455829
6,PCB,5,1.254571
6,PCB,6,1.106248
6,PCB,7,1.323413
6,PCB,8,1.306472
6,PCB,9,1.165364
6,PCB,10,1.193462
6,PCB,11,1.134874
6,PCB,12,1.299026
6,PCB,13,1.327840
6,PCB,14,1.350891
6,PCB,15,1.150664
6,PCB,16,1.153564
6,PCB,17,1.112053
6,PCB,18,1.490677
6,PCB,19,1.358363
6,PCB,20,1.294834
6,PCB,21,1.205323
6,PCB,22,1.085786
6,PCB,23,1.122638
6,PCB,24,1.384892
6,PCB,25,1.158628
6,PCB,26,1.196221
6,PCB,27,1.222291
7,DMT,0,1.386370
7,DMT,1,1.280044
7,DMT,2,1.367296
7,DMT,3,1.449036
7,DMT,4,1.397087
7,DMT,5,1.203557
7,DMT,6,1.531504
7,DMT,7,1.749585
7,DMT,8,1.122983
7,DMT,9,1.234335
7,DMT,10,1.219665
7,DMT,11,1.278684
7,DMT,12,1.170121
7,DMT,13,1.267941
7,DMT,14,1.024739
7,DMT,15,1.137957
7,DMT,16,1.093309
7,DMT,17,1.248383
7,DMT,18,1.020069
7,DMT,19,1.312772
7,DMT,20,1.273700
7,DMT,21,1.274137
7,DMT,22,1.261390
7,DMT,23,1.308511
7,DMT,24,1.477638
7,DMT,25,1.237468
7,DMT,26,1.236611
7,DMT,27,1.272940
