# 11_regional_analysis.py EXPLORATORY variant=ts_demean regions=115 excluded_regions=20 pre=bins1-8 post=bins11-28 signflip=exact2^14 two-sided fdr=BH q=0.05 spin=rotated_Schaefer_100 (10000 rotations, cortical only) bootstrap=10000 seed=20261120 git=4f7437b
section,name,value,ci_lo,ci_hi,p,note
workspace_named_subregion,nonworkspace_mean_did_vs_noncortex_ws+subcortex,-0.100530,-0.164241,-0.033147,0.01428,""
workspace_named_subregion,gateway_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.014618,-0.039643,0.012959,0.30640,"n=21 neg=10/14"
workspace_named_subregion,broadcaster_proxy_minus_nonworkspace_vs_noncortex_ws+subcortex,-0.006237,-0.042563,0.033817,0.77087,"n=5 neg=9/14"
workspace_named_subregion,gateway_proxy_minus_broadcaster_proxy,-0.008382,-0.052410,0.030213,0.71533,"n_gw=21 n_bc=5"
rankrule_placebo,n_rankrule_workspace_of_115,58.000000,,,,""
rankrule_placebo,n_rankrule_cortical,51.000000,,,,""
rankrule_placebo,n_rankrule_subcortical,7.000000,,,,""
rankrule_placebo,overlap_with_primary_proxy_count,32.000000,,,,"proxy n=37; rule cortical n=51"
rankrule_placebo,jaccard_rule_vs_primary_proxy_cortical,0.571429,,,,""
rankrule_placebo,spearman_rank_sts_vs_rank_rtr_115,0.115064,,,,""
rankrule_placebo_composition,Vis_rule_count_of_17,4.000000,,,,""
rankrule_placebo_composition,SomMot_rule_count_of_14,0.000000,,,,""
rankrule_placebo_composition,DorsAttn_rule_count_of_14,6.000000,,,,""
rankrule_placebo_composition,SalVentAttn_rule_count_of_12,4.000000,,,,""
rankrule_placebo_composition,Limbic_rule_count_of_5,5.000000,,,,""
rankrule_placebo_composition,Cont_rule_count_of_13,12.000000,,,,""
rankrule_placebo_composition,Default_rule_count_of_24,20.000000,,,,""
rankrule_placebo_composition,Subcortex_rule_count_of_16,7.000000,,,,""
rankrule_dmt_descriptive,n_rankrule_workspace_of_115,62.000000,,,,""
rankrule_dmt_descriptive,n_regions_same_membership_as_placebo,93.000000,,,,""
