# script=02_bias_check.py tau=1 kind=gaussian redundancy=MMI n_windows=2000 burn_in=200 seed=20261120 git=18ad8b4 n_runs=20000 n_boot=2000 m_decide=1338/742 threshold=0.8
condition,window,M,pair,true_diff,est_diff_mean,est_diff_se,est_diff_sd_pooled,p_correct_sign_boot,p_correct_sign_analytic,p_analytic_lo,p_analytic_hi
nonstat_decay_noisecorr,30,742,24->25,0.002316,0.000162,0.000723,0.003752,0.528000,0.517184,0.369025,0.662980
nonstat_decay_noisecorr,30,742,25->26,0.001535,0.000742,0.000737,0.003826,0.570500,0.576901,0.427183,0.716168
nonstat_decay_noisecorr,30,742,26->27,-0.000767,-0.000531,0.000737,0.003825,0.538000,0.555205,0.405670,0.697194
nonstat_decay_noisecorr,30,742,27->28,0.003046,0.000520,0.000731,0.003796,0.551500,0.554467,0.404945,0.696541
nonstat_decay_noisecorr,30,151,10->11,0.001218,0.000327,0.000535,0.006157,0.518500,0.521158,0.453333,0.588375
nonstat_decay_noisecorr,30,151,11->12,0.001927,0.000391,0.000546,0.006288,0.532500,0.524772,0.456930,0.591902
nonstat_decay_noisecorr,30,151,12->13,0.002567,0.001021,0.000566,0.006519,0.566500,0.562235,0.494547,0.628145
nonstat_decay_noisecorr,30,151,13->14,0.002358,0.000628,0.000587,0.006755,0.538500,0.537052,0.469194,0.603846
nonstat_decay_noisecorr,30,151,14->15,0.002089,0.002211,0.000612,0.007043,0.636000,0.623196,0.557084,0.685875
nonstat_decay_noisecorr,30,151,15->16,0.001774,0.000232,0.000628,0.007227,0.508000,0.512826,0.445061,0.580222
nonstat_decay_noisecorr,30,151,16->17,0.002033,0.002348,0.000644,0.007409,0.635500,0.624343,0.558276,0.686946
nonstat_decay_noisecorr,30,151,17->18,0.005103,-0.000112,0.000659,0.007588,0.468000,0.494133,0.426610,0.561826
nonstat_decay_noisecorr,30,151,18->19,0.009037,0.001692,0.000666,0.007670,0.583000,0.587279,0.520037,0.652049
nonstat_decay_noisecorr,30,151,19->20,0.004823,0.001245,0.000682,0.007851,0.543500,0.562982,0.495304,0.628862
nonstat_decay_noisecorr,30,151,20->21,0.003186,0.000620,0.000696,0.008007,0.543000,0.530853,0.462995,0.597825
nonstat_decay_noisecorr,30,151,21->22,0.003931,0.001531,0.000711,0.008185,0.572500,0.574168,0.506658,0.639567
nonstat_decay_noisecorr,30,151,22->23,0.001564,0.000194,0.000718,0.008264,0.512500,0.509378,0.441646,0.576840
nonstat_decay_noisecorr,30,151,23->24,0.002332,0.000434,0.000716,0.008238,0.530500,0.521008,0.453183,0.588228
nonstat_decay_noisecorr,30,151,24->25,0.002316,0.000162,0.000723,0.008318,0.520000,0.507754,0.440040,0.575245
nonstat_decay_noisecorr,30,151,25->26,0.001535,0.000742,0.000737,0.008482,0.529500,0.534864,0.467004,0.601723
nonstat_decay_noisecorr,30,151,26->27,-0.000767,-0.000531,0.000737,0.008479,0.533500,0.524968,0.457125,0.592093
nonstat_decay_noisecorr,30,151,27->28,0.003046,0.000520,0.000731,0.008414,0.524000,0.524632,0.456790,0.591765
nonstat_decay_noisecorr,60,1338,5->6,0.001335,0.001179,0.000428,0.001654,0.762500,0.762048,0.581586,0.888741
nonstat_decay_noisecorr,60,1338,6->7,0.004709,0.005827,0.000473,0.001828,1.000000,0.999284,0.996333,0.999890
nonstat_decay_noisecorr,60,1338,7->8,0.004163,0.006063,0.000536,0.002073,0.998500,0.998276,0.992191,0.999700
nonstat_decay_noisecorr,60,1338,8->9,0.005112,0.005085,0.000585,0.002262,0.987000,0.987719,0.959182,0.997067
nonstat_decay_noisecorr,60,1338,9->10,0.014375,0.005977,0.000629,0.002431,0.989500,0.993033,0.974530,0.998491
nonstat_decay_noisecorr,60,1338,10->11,0.007560,0.003185,0.000662,0.002559,0.895500,0.893306,0.769545,0.960049
nonstat_decay_noisecorr,60,1338,11->12,0.004691,0.003224,0.000683,0.002641,0.894500,0.888945,0.762380,0.957996
nonstat_decay_noisecorr,60,1338,12->13,0.004248,0.000850,0.000696,0.002690,0.634000,0.624017,0.424299,0.794746
nonstat_decay_noisecorr,60,1338,13->14,0.001526,0.000712,0.000698,0.002697,0.636000,0.604062,0.403972,0.779596
nonstat_decay_noisecorr,60,742,5->6,0.001335,0.001179,0.000428,0.002221,0.722500,0.702253,0.560947,0.818171
nonstat_decay_noisecorr,60,742,6->7,0.004709,0.005827,0.000473,0.002454,0.993500,0.991208,0.977074,0.997037
nonstat_decay_noisecorr,60,742,7->8,0.004163,0.006063,0.000536,0.002784,0.982000,0.985296,0.964105,0.994698
nonstat_decay_noisecorr,60,742,8->9,0.005112,0.005085,0.000585,0.003037,0.961000,0.952957,0.902633,0.979903
nonstat_decay_noisecorr,60,742,9->10,0.014375,0.005977,0.000629,0.003264,0.967000,0.966460,0.926973,0.986401
nonstat_decay_noisecorr,60,742,10->11,0.007560,0.003185,0.000662,0.003437,0.825500,0.822937,0.708530,0.903907
nonstat_decay_noisecorr,60,742,11->12,0.004691,0.003224,0.000683,0.003546,0.818000,0.818382,0.702530,0.900907
nonstat_decay_noisecorr,60,742,12->13,0.004248,0.000850,0.000696,0.003613,0.609000,0.593034,0.443474,0.730022
nonstat_decay_noisecorr,60,742,13->14,0.001526,0.000712,0.000698,0.003622,0.555500,0.577892,0.428176,0.717025
nonstat_decay_noisecorr,60,151,5->6,0.001335,0.001179,0.000428,0.004923,0.592500,0.594638,0.527580,0.659023
nonstat_decay_noisecorr,60,151,6->7,0.004709,0.005827,0.000473,0.005440,0.867000,0.857931,0.816143,0.892766
nonstat_decay_noisecorr,60,151,7->8,0.004163,0.006063,0.000536,0.006171,0.832000,0.837076,0.791663,0.875507
nonstat_decay_noisecorr,60,151,8->9,0.005112,0.005085,0.000585,0.006732,0.771500,0.774955,0.720713,0.822666
nonstat_decay_noisecorr,60,151,9->10,0.014375,0.005977,0.000629,0.007236,0.787500,0.795613,0.744006,0.840462
nonstat_decay_noisecorr,60,151,10->11,0.007560,0.003185,0.000662,0.007619,0.650000,0.662030,0.597818,0.721840
nonstat_decay_noisecorr,60,151,11->12,0.004691,0.003224,0.000683,0.007860,0.667000,0.659156,0.594778,0.719200
nonstat_decay_noisecorr,60,151,12->13,0.004248,0.000850,0.000696,0.008008,0.546500,0.542277,0.474432,0.608910
nonstat_decay_noisecorr,60,151,13->14,0.001526,0.000712,0.000698,0.008029,0.528500,0.535318,0.467458,0.602164
